t_scores,TR,EP,NM,NS,FP,IE,IP
90,39,23,16,10,19,15,6
89,38,22,15,9,,,
88,37,,,,18,14,
87,,,,,,,
86,36,21,14,,,,
85,35,,,,17,13,
84,34,20,,8,,,
83,33,,13,,16,,
82,,19,,,,,5
81,32,,,,,12,
80,31,18,,,15,,
79,30,,12,7,,,
78,,17,,,,11,
77,29,,,,14,,
76,28,16,11,,,,
75,27,,,,,,
74,,,,6,13,10,4
73,26,15,10,,,,
72,25,,,,12,,
71,24,14,,,,9,
70,,,9,,,,
69,23,13,,5,11,,
68,22,,,,,,
67,21,12,8,,,8,
66,20,,,,10,,3
65,,11,,,,,
64,19,,,,,,
63,18,10,7,4,9,7,
62,17,,,,,,
61,,9,,,8,,
60,16,,6,,,6,
59,15,,,,,,
58,14,8,,3,7,,2
57,,,5,,,,
56,13,7,,,,5,
55,12,,,,6,,
54,11,6,4,,,,
53,,,,2,,4,
52,10,5,,,5,,
51,9,,3,,,,
50,8,4,,,,,
49,7,,,,4,3,1
48,,3,2,1,,,
47,6,,,,3,,
46,5,,,,,,
45,4,2,,,,2,
44,,,1,,2,,
43,3,1,,0,,,
42,2,,,,,1,
41,1,0,0,,1,,0
40,0,,,,0,0,
