t_scores,TR,EP,NM,NS,FP,IE,IP
90,31,16,11,7,18,14,6
89,30,,,,17,,
88,,,,,,,
87,29,15,10,,,13,
86,28,,,,16,,5
85,,,,,,,
84,27,14,,,,,
83,,,,6,15,12,
82,26,,9,,,,
81,25,13,,,,,
80,,,,,14,,
79,24,,,,,11,
78,,12,8,,,,
77,23,,,,13,,4
76,22,,,5,,,
75,,11,,,,10,
74,21,,,,12,,
73,,,7,,,,
72,20,10,,,,,
71,19,,,,11,9,
70,,,,4,,,
69,18,9,6,,,,
68,,,,,10,,3
67,17,,,,,8,
66,,8,,,,,
65,16,,,,9,,
64,15,,5,,,7,
63,,7,,3,,,
62,14,,,,8,,
61,,,,,,,
60,13,6,,,,6,2
59,12,,4,,7,,
58,,,,,,,
57,11,5,,2,,,
56,,,,,6,5,
55,10,,3,,,,
54,9,4,,,,,
53,,,,,5,,
52,8,,,,,4,
51,,,,,,,1
50,7,3,2,1,4,,
49,6,,,,,,
48,,,,,,3,
47,5,2,,,3,,
46,,,1,,,,
45,4,,,,,,
44,3,1,,0,2,2,
43,,,,,,,
42,2,,,,,,0
41,,0,0,,,1,
40,1,,,,1,0,
