raw_min,raw_max,scaled_score,percentile_rank
120,135,40,<0.1
136,138,41,<0.1
139,142,42,<0.1
143,145,43,<0.1
146,148,44,<0.1
149,151,45,<0.1
152,153,46,<0.1
154,156,47,<0.1
157,158,48,<0.1
159,161,49,<0.1
162,164,50,<0.1
165,167,51,0.1
168,170,52,0.1
171,173,53,0.1
174,176,54,0.1
177,179,55,0.1
180,182,56,0.2
183,184,57,0.2
185,187,58,0.3
188,190,59,0.3
191,192,60,0.4
193,196,61,0.5
197,198,62,1
199,201,63,1
202,203,64,1
204,206,65,1
207,209,66,1
210,212,67,1
213,215,68,2
216,217,69,2
218,219,70,2
220,222,71,3
223,226,72,3
227,229,73,4
230,232,74,4
233,235,75,5
236,238,76,5
239,241,77,6
242,244,78,7
245,247,79,8
248,250,80,9
251,252,81,10
253,255,82,12
256,258,83,13
259,261,84,14
262,264,85,16
265,266,86,18
267,268,87,19
269,270,88,21
271,273,89,23
274,276,90,25
277,279,91,27
280,282,92,30
283,284,93,32
285,286,94,34
287,288,95,37
289,291,96,39
292,294,97,42
295,297,98,45
298,300,99,47
301,303,100,50
304,306,101,53
307,308,102,55
309,310,103,58
311,313,104,61
314,316,105,63
317,318,106,66
319,321,107,68
322,323,108,70
324,325,109,73
326,328,110,75
329,331,111,77
332,333,112,79
334,335,113,81
336,338,114,82
339,340,115,84
341,342,116,86
343,344,117,87
345,347,118,88
348,349,119,90
350,351,120,91
352,353,121,92
354,355,122,93
356,357,123,94
358,359,124,95
360,361,125,95
362,364,126,96
365,367,127,96
368,370,128,97
371,372,129,97
373,375,130,98
376,378,131,98
379,381,132,98
382,383,133,99
384,386,134,99
387,388,135,99
389,390,136,99
391,392,137,99
393,395,138,99
396,398,139,99.5
399,401,140,99.6
402,403,141,99.7
404,405,142,99.7
406,408,143,99.8
409,410,144,99.8
411,413,145,99.9
414,416,146,99.9
417,418,147,99.9
419,420,148,99.9
421,423,149,99.9
424,426,150,>99.9
427,429,151,>99.9
430,432,152,>99.9
433,435,153,>99.9
436,439,154,>99.9
440,443,155,>99.9
444,446,156,>99.9
447,450,157,>99.9
451,454,158,>99.9
455,460,159,>99.9
461,480,160,>99.9
