raw_min,raw_max,scaled_score,percentile_rank
120,135,40,<0.1
136,139,41,<0.1
140,143,42,<0.1
144,146,43,<0.1
147,148,44,<0.1
149,151,45,<0.1
152,154,46,<0.1
155,156,47,<0.1
157,159,48,<0.1
160,162,49,<0.1
163,165,50,<0.1
166,167,51,0.1
168,170,52,0.1
171,172,53,0.1
173,175,54,0.1
176,178,55,0.1
179,180,56,0.2
181,183,57,0.2
184,185,58,0.3
186,188,59,0.3
189,191,60,0.4
192,194,61,0.5
195,197,62,1
198,199,63,1
200,202,64,1
203,205,65,1
206,208,66,1
209,211,67,1
212,213,68,2
214,215,69,2
216,218,70,2
219,221,71,3
222,224,72,3
225,228,73,4
229,232,74,4
233,235,75,5
236,238,76,5
239,242,77,6
243,245,78,7
246,248,79,8
249,251,80,9
252,253,81,10
254,256,82,12
257,259,83,13
260,261,84,14
262,265,85,16
266,268,86,18
269,270,87,19
271,272,88,21
273,274,89,23
275,277,90,25
278,279,91,27
280,282,92,30
283,284,93,32
285,287,94,34
288,290,95,37
291,292,96,39
293,295,97,42
296,297,98,45
298,299,99,47
300,302,100,50
303,305,101,53
306,308,102,55
309,310,103,58
311,312,104,61
313,315,105,63
316,317,106,66
318,320,107,68
321,322,108,70
323,324,109,73
325,326,110,75
327,329,111,77
330,332,112,79
333,334,113,81
335,336,114,82
337,338,115,84
339,341,116,86
342,343,117,87
344,345,118,88
346,347,119,90
348,350,120,91
351,353,121,92
354,355,122,93
356,358,123,94
359,360,124,95
361,363,125,95
364,366,126,96
367,368,127,96
369,371,128,97
372,374,129,97
375,377,130,98
378,379,131,98
380,382,132,98
383,385,133,99
386,387,134,99
388,390,135,99
391,392,136,99
393,394,137,99
395,396,138,99
397,399,139,99.5
400,401,140,99.6
402,403,141,99.7
404,406,142,99.7
407,409,143,99.8
410,411,144,99.8
412,413,145,99.9
414,416,146,99.9
417,419,147,99.9
420,421,148,99.9
422,423,149,99.9
424,426,150,>99.9
427,429,151,>99.9
430,432,152,>99.9
433,435,153,>99.9
436,439,154,>99.9
440,443,155,>99.9
444,447,156,>99.9
448,451,157,>99.9
452,455,158,>99.9
456,459,159,>99.9
460,480,160,>99.9
