tscore,TRAW_MIN,TRAW_MAX,SP,GAD,SA,HR,PF,OC,PS,P,TR,HA
90,132,,,29,,,,,31,18,,
89,130,131,27,28,,,,,,17,,
88,128,129,,,,,,30,30,,,
87,126,127,26,27,,,,,29,,15,
86,124,125,,,,,,29,,16,,
85,122,123,,26,,,,28,28,,,
84,121,121,25,,,,,,,,14,
83,119,120,,25,,,,27,27,15,,
82,117,118,24,,,,,,26,,,
81,115,116,,,,,,26,,,13,
80,113,114,23,24,,,,25,25,14,,
79,111,112,,,,,,,,,,
78,109,110,22,23,,,,24,24,,,
77,107,108,,,,,,,23,13,12,
76,105,106,,22,27,,12,23,,,,
75,103,104,21,,26,,,22,22,,,
74,101,102,,21,,,,,,12,11,
73,99,100,20,,25,,11,21,21,,,
72,97,98,,20,,15,,,20,,,
71,96,96,19,,24,,,20,,11,10,
70,94,95,,19,23,,,,19,,,
69,92,93,,,,14,10,19,,,,
68,90,91,18,18,22,,,18,18,10,9,
67,88,89,,,21,13,,,,,,24
66,86,87,17,17,,,,17,17,,,
65,84,85,,,20,12,9,,16,9,8,
64,82,83,16,,,,,16,,,,23
63,80,81,,16,19,,,15,15,,,
62,78,79,15,,18,11,,,,8,,22
61,76,77,,15,,,8,14,14,,7,
60,74,75,,,17,10,,,13,7,,
59,72,73,14,14,,,,13,,,,21
58,70,71,,,16,,7,12,12,,6,
57,69,69,13,13,15,9,,,,6,,
56,67,68,,,,,,11,11,,,20
55,65,66,12,12,14,8,,,10,,5,
54,63,64,,,,,6,10,,5,,19
53,61,62,11,11,13,7,,9,9,,,
52,59,60,,,12,,,,,,4,
51,57,58,,10,,,,8,8,4,,18
50,55,56,10,,11,6,5,,7,,,
49,53,54,,9,,,,7,,,3,
48,51,52,9,,10,5,,,6,3,,17
47,49,50,,,9,,,6,,,,
46,47,48,8,8,,,4,5,5,,,16
45,45,46,,,8,4,,,4,2,2,
44,44,44,7,7,,,,4,,,,
43,42,43,,,7,3,3,,3,,,15
42,40,41,,6,6,,,3,,1,1,
41,38,39,6,,,2,,2,2,,,14
40,0,37,5,5,5,1,2,1,1,0,0,13
