tscore,TRAW_MIN,TRAW_MAX,SP,GAD,SA,HR,PF,OC,PS,P,TR,HA
90,111,,18,25,,,,27,30,17,15,
89,109,110,,24,,,,,,,,
88,108,108,,,,,,26,29,,14,
87,106,107,17,23,,,,,,16,,
86,104,105,,,,,,25,28,,,
85,102,103,,,27,,,,27,,,
84,101,101,16,22,,,,24,,15,13,
83,99,100,,,26,,,,26,,,
82,97,98,15,21,,15,,23,,,,
81,95,96,,,25,,,,25,14,12,
80,93,94,,,,,12,22,24,,,
79,92,92,14,20,24,14,,21,,,,
78,90,91,,,23,,,,23,13,11,
77,88,89,,19,,,,20,,,,
76,86,87,13,,22,13,11,,22,12,,
75,84,85,,,,,,19,21,,,
74,83,83,,18,21,,,,,,10,
73,81,82,12,,,12,10,18,20,11,,
72,79,80,,17,20,,,,,,,
71,77,78,11,,,,,17,19,,9,
70,75,76,,,19,11,,,18,10,,
69,74,74,,16,,,9,16,,,,24
68,72,73,10,,18,,,15,17,,,
67,70,71,,15,,10,,,,9,8,23
66,68,69,,,17,,,14,16,,,
65,67,67,9,,16,,8,,15,,,22
64,65,66,,14,,9,,13,,8,7,
63,63,64,8,,15,,,,14,,,21
62,61,62,,13,,,7,12,,,,
61,59,60,,,14,8,,,13,7,,
60,58,58,7,,,,,11,12,,6,20
59,56,57,,12,13,,,,,,,
58,54,55,,,,7,6,10,11,6,,19
57,52,53,6,11,12,,,,,,5,
56,50,51,,,,,,9,10,,,18
55,49,49,,,11,6,5,8,9,5,,
54,47,48,5,10,,,,,,,,17
53,45,46,,,10,,,7,8,,4,
52,43,44,4,9,9,5,,,,4,,
51,41,42,,,,,4,6,7,,,16
50,40,40,,,8,,,,6,3,3,
49,38,39,3,8,,4,,5,,,,15
48,36,37,,,7,,,,5,,,
47,34,35,,7,,,3,4,,2,,14
46,33,33,2,,6,3,,,4,,2,
45,31,32,,,,,,3,3,,,13
44,29,30,,6,5,,2,2,,1,,
43,27,28,1,,,2,,,2,,1,
42,25,26,,5,4,,,1,,,,12
41,24,24,0,,,,,,1,0,,
40,0,23,,4,3,1,1,0,0,,0,11
