raw,att,att_perc,comm,comm_perc,dp,dp_perc,inv,inv_perc,pc,pc_perc,sws,sws_perc,rf,rf_perc
48,,,,,,,,,,,,,100,99
47,,,,,,,,,,,,,100,99
46,,,,,,,,,,,,,100,99
45,66,97,,,,,,,,,,,100,99
44,65,95,,,,,,,,,,,100,99
43,63,92,,,,,,,,,,,100,99
42,62,88,,,,,,,,,,,99,99
41,61,84,,,,,,,,,,,97,99
40,59,80,,,,,,,,,,,95,99
39,58,75,63,96,,,,,,,,,94,99
38,56,70,62,91,,,,,,,,,92,99
37,55,65,60,85,,,,,,,,,91,99
36,54,60,59,78,,,,,67,98,,,89,99
35,52,55,57,71,,,,,65,95,,,87,99
34,51,50,56,65,,,,,63,90,,,86,99
33,49,45,54,59,,,,,60,83,,,84,99
32,48,40,53,53,,,,,58,76,,,83,99
31,46,35,51,48,,,,,56,68,,,81,99
30,45,31,50,42,,,,,54,61,62,91,79,99
29,44,27,48,38,,,,,52,53,60,85,78,99
28,42,23,47,33,,,,,50,46,59,79,76,99
27,41,20,45,29,67,96,74,99,48,39,57,73,75,98
26,39,17,43,25,65,92,73,99,45,32,56,66,73,98
25,38,14,42,22,63,87,71,98,43,26,54,60,71,97
24,37,11,40,19,60,81,69,96,41,21,53,54,70,97
23,35,9,39,16,58,75,67,94,39,16,51,49,68,96
22,34,7,37,13,56,69,65,92,37,12,50,44,67,94
21,32,5,36,11,54,62,63,89,35,8,48,39,65,93
20,31,4,34,9,52,55,61,86,33,6,47,34,64,91
19,30,2,33,7,49,48,60,82,31,4,45,30,62,88
18,28,2,31,5,47,41,58,77,28,2,44,26,60,86
17,27,1,30,4,45,34,56,72,26,1,42,22,59,82
16,25,1,28,3,43,28,54,66,24,1,41,19,57,78
15,24,1,27,2,41,21,52,60,22,1,39,16,56,73
14,22,1,25,1,38,15,50,53,20,1,38,14,54,68
13,21,1,23,1,36,10,48,47,18,1,36,11,52,62
12,20,1,22,1,34,5,46,40,16,1,35,9,51,56
11,18,1,20,1,32,2,45,33,14,1,33,7,49,49
10,17,1,19,1,30,1,43,26,11,1,32,6,48,42
9,15,1,17,1,28,1,41,20,10,1,30,4,46,36
8,14,1,16,1,25,1,39,14,10,1,29,3,44,29
7,13,1,14,1,23,1,37,9,10,1,27,2,43,23
6,11,1,13,1,21,1,35,6,10,1,26,2,41,18
5,10,1,11,1,19,1,33,3,10,1,24,1,40,14
4,10,1,10,1,17,1,31,1,10,1,23,1,38,10
3,10,1,10,1,14,1,30,1,10,1,21,1,36,7
2,10,1,10,1,12,1,28,1,10,1,20,1,35,5
1,10,1,10,1,10,1,26,1,10,1,18,1,33,3
0,10,1,10,1,10,1,24,1,10,1,17,1,32,2
