Raw,BehaviorRegulationIndexTScore,BehaviorRegulationIndex%Rank,MetaCognitionIndexTScore,MetaCognitionIndex%Rank
120,,,116,>99
119,,,115,>99
118,,,114,>99
117,,,113,>99
116,,,112,>99
115,,,111,>99
114,,,110,>99
113,,,109,>99
112,,,108,>99
111,,,107,>99
110,,,106,>99
109,,,105,>99
108,,,104,>99
107,,,103,>99
106,,,102,>99
105,,,101,>99
104,,,100,>99
103,,,99,>99
102,,,98,>99
101,,,97,>99
100,,,96,>99
99,,,95,>99
98,,,94,>99
97,,,93,>99
96,,,92,>99
95,,,91,>99
94,,,90,>99
93,,,89,>99
92,,,88,>99
91,,,87,>99
90,115,>99,86,>99
89,114,>99,85,>99
88,112,>99,84,>99
87,111,>99,83,99
86,110,>99,82,99
85,109,>99,82,99
84,107,>99,81,99
83,106,>99,80,99
82,105,>99,79,99
81,104,>99,78,99
80,102,>99,77,99
79,101,>99,76,99
78,100,>99,75,99
77,98,>99,74,98
76,97,>99,73,98
75,96,>99,72,97
74,95,>99,71,96
73,93,>99,70,94
72,92,99,69,94
71,91,99,68,93
70,89,99,67,93
69,88,99,66,93
68,87,99,65,92
67,86,99,64,90
66,84,99,63,89
65,83,99,62,88
64,82,99,61,88
63,80,99,60,85
62,79,99,59,81
61,78,99,58,80
60,77,99,57,78
59,75,98,56,76
58,74,98,55,74
57,73,98,54,72
56,71,98,53,70
55,70,97,52,67
54,69,97,51,61
53,68,94,50,54
52,66,93,49,52
51,65,89,48,48
50,64,89,47,43
49,62,88,46,38
48,61,86,46,38
47,60,82,45,30
46,59,77,44,26
45,57,74,43,24
44,56,71,42,21
43,55,67,41,17
42,53,64,40,14
41,52,63,39,11
40,51,59,38,6
39,50,56,,
38,48,52,,
37,47,47,,
36,46,40,,
35,45,34,,
34,43,32,,
33,42,27,,
32,41,21,,
31,39,16,,
30,38,11,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
90% CI,�4,,�4,
