Raw,GlobalExecutiveTScore,GlobalExecutive%Rank
210,119,>99
209,118,>99
208,118,>99
207,117,>99
206,117,>99
205,116,>99
204,115,>99
203,115,>99
202,114,>99
201,114,>99
200,113,>99
199,113,>99
198,112,>99
197,111,>99
196,111,>99
195,110,>99
194,110,>99
193,109,>99
192,108,>99
191,108,>99
190,107,>99
189,107,>99
188,106,>99
187,106,>99
186,105,>99
185,104,>99
184,104,>99
183,103,>99
182,103,>99
181,102,>99
180,101,>99
179,101,>99
178,100,>99
177,100,>99
176,99,>99
175,99,>99
174,98,>99
173,97,>99
172,97,>99
171,96,>99
170,96,>99
169,95,>99
168,94,>99
167,94,>99
166,93,>99
165,93,>99
164,92,>99
163,91,>99
162,91,>99
161,90,>99
160,90,>99
159,89,>99
158,89,>99
157,88,99
156,87,99
155,87,99
154,86,99
153,86,99
152,85,99
151,84,99
150,84,99
149,83,99
148,83,99
147,82,99
146,82,99
145,81,99
144,80,99
143,80,99
142,79,99
141,79,99
140,78,99
139,77,99
138,77,99
137,76,99
136,76,99
135,75,99
134,75,99
133,74,98
132,73,98
131,73,98
130,72,98
129,72,98
128,71,97
127,70,96
126,70,96
125,69,95
124,69,95
123,68,94
122,68,94
121,67,93
120,66,93
119,66,92
118,65,91
117,65,91
116,64,91
115,63,91
114,63,91
113,62,89
112,62,89
111,61,88
110,61,88
109,60,84
108,59,83
107,59,83
106,58,80
105,58,80
104,57,78
103,56,75
102,56,75
101,55,72
100,55,72
99,54,67
98,54,67
97,53,63
96,52,59
95,52,59
94,51,54
93,51,54
92,50,52
91,49,51
90,49,51
89,48,47
88,48,47
87,47,43
86,47,43
85,46,38
84,45,36
83,45,36
82,44,33
81,44,33
80,43,25
79,42,23
78,42,23
77,41,20
76,41,20
75,40,14
74,40,14
73,39,12
72,38,10
71,38,10
70,37,3
,,
,,
,,
,,
,,
90% CI,�3,
