Raw,InhibitTScore,Inhibit%Rank,ShiftTScore,Shift%Rank,EmotionalControlTScore,EmotionalControl%Rank,SelfMonitorTScore,SelfMonitor%Rank,InitiateTScore,Initiate%Rank,WorkingMemoryTScore,WorkingMemory%Rank,PlanOrganizeTScore,PlanOrganize%Rank,TaskMonitorTScore,TaskMonitor%Rank,OrgMaterialsTScore,OrgMaterials%Rank
30,,,,,107,>99,,,,,,,109,>99,,,,
29,,,,,104,>99,,,,,,,106,>99,,,,
28,,,,,100,>99,,,,,,,103,>99,,,,
27,,,,,97,>99,,,,,,,99,>99,,,,
26,,,,,94,>99,,,,,,,96,>99,,,,
25,,,,,91,99,,,,,,,92,>99,,,,
24,98,>99,,,87,99,,,107,>99,109,>99,89,>99,,,100,>99
23,95,>99,,,84,99,,,103,>99,105,>99,85,>99,,,96,>99
22,91,>99,,,81,99,,,99,>99,100,>99,82,99,,,93,>99
21,88,>99,,,77,99,,,94,>99,96,>99,79,99,,,89,>99
20,84,>99,,,74,98,,,90,>99,92,>99,75,99,,,85,>99
19,81,>99,,,71,95,,,86,>99,88,99,72,96,,,81,>99
18,77,99,100,>99,68,90,96,>99,82,99,83,99,68,93,99,>99,78,99
17,74,99,95,>99,64,88,92,>99,77,99,79,99,65,93,94,>99,74,98
16,70,98,90,>99,61,82,87,>99,73,98,75,98,61,88,88,>99,70,98
15,67,98,85,>99,58,76,82,>99,69,97,70,96,58,82,83,>99,66,94
14,63,96,80,99,55,65,77,>99,65,91,66,94,55,75,78,>99,63,88
13,60,93,75,99,51,60,72,99,60,85,62,92,51,64,73,99,59,80
12,56,88,70,99,48,56,67,97,56,76,57,84,48,60,68,99,55,75
11,53,77,65,95,45,46,62,88,52,64,53,74,44,44,63,91,51,65
10,49,58,60,85,41,34,57,80,48,54,49,64,41,27,58,81,47,56
9,46,41,55,73,,,53,69,43,35,45,45,,,53,62,44,41
8,42,24,50,65,,,48,59,39,18,40,24,,,48,47,40,23
7,,,45,44,,,43,40,,,,,,,43,34,,
6,,,40,30,,,38,24,,,,,,,38,20,,
