RawScore,Inhibit_TScore,Inhibit_Perc_Rank,SelfMonitor_TScore,SelfMonitor_Perc_Rank,Shift_TScore,Shift_Perc_Rank,EmotionalControl_TScore,EmotionalControl_Perc_Rank,Initiate_TScore,Initiate_Perc_Rank,WorkingMemory_TScore,WorkingMemory_Perc_Rank,PlanOrganize_TScore,PlanOrganize_Perc_Rank,TaskMonitor_TScore,TaskMonitor_Perc_Rank,OrgMaterials_TScore,OrgMaterials_Perc_Rank,BehaviorRegulation_TScore,BehaviorRegulation_Perc_Rank,EmotionRegulation_TScore,EmotionRegulation_Perc_Rank,CognitiveRegulation_TScore,CognitiveRegulation_Perc_Rank,GlobalExecutive_TScore,GlobalExecutive_Perc_Rank
180,,,,,,,,,,,,,,,,,,,,,,,,,>90,>99
179,,,,,,,,,,,,,,,,,,,,,,,,,>90,>99
178,,,,,,,,,,,,,,,,,,,,,,,,,90,>99
177,,,,,,,,,,,,,,,,,,,,,,,,,90,>99
176,,,,,,,,,,,,,,,,,,,,,,,,,89,>99
175,,,,,,,,,,,,,,,,,,,,,,,,,89,>99
174,,,,,,,,,,,,,,,,,,,,,,,,,88,>99
173,,,,,,,,,,,,,,,,,,,,,,,,,88,>99
172,,,,,,,,,,,,,,,,,,,,,,,,,87,>99
171,,,,,,,,,,,,,,,,,,,,,,,,,87,>99
170,,,,,,,,,,,,,,,,,,,,,,,,,86,>99
169,,,,,,,,,,,,,,,,,,,,,,,,,86,>99
168,,,,,,,,,,,,,,,,,,,,,,,,,85,>99
167,,,,,,,,,,,,,,,,,,,,,,,,,85,>99
166,,,,,,,,,,,,,,,,,,,,,,,,,84,>99
165,,,,,,,,,,,,,,,,,,,,,,,,,84,>99
164,,,,,,,,,,,,,,,,,,,,,,,,,84,>99
163,,,,,,,,,,,,,,,,,,,,,,,,,83,>99
162,,,,,,,,,,,,,,,,,,,,,,,,,83,>99
161,,,,,,,,,,,,,,,,,,,,,,,,,82,>99
160,,,,,,,,,,,,,,,,,,,,,,,,,82,99
159,,,,,,,,,,,,,,,,,,,,,,,,,81,99
158,,,,,,,,,,,,,,,,,,,,,,,,,81,99
157,,,,,,,,,,,,,,,,,,,,,,,,,80,99
156,,,,,,,,,,,,,,,,,,,,,,,,,80,99
155,,,,,,,,,,,,,,,,,,,,,,,,,79,98
154,,,,,,,,,,,,,,,,,,,,,,,,,79,98
153,,,,,,,,,,,,,,,,,,,,,,,,,78,98
152,,,,,,,,,,,,,,,,,,,,,,,,,78,98
151,,,,,,,,,,,,,,,,,,,,,,,,,77,98
150,,,,,,,,,,,,,,,,,,,,,,,,,77,98
149,,,,,,,,,,,,,,,,,,,,,,,,,76,98
148,,,,,,,,,,,,,,,,,,,,,,,,,76,98
147,,,,,,,,,,,,,,,,,,,,,,,,,76,98
146,,,,,,,,,,,,,,,,,,,,,,,,,75,98
145,,,,,,,,,,,,,,,,,,,,,,,,,75,98
144,,,,,,,,,,,,,,,,,,,,,,,,,74,97
143,,,,,,,,,,,,,,,,,,,,,,,,,74,97
142,,,,,,,,,,,,,,,,,,,,,,,,,73,97
141,,,,,,,,,,,,,,,,,,,,,,,,,73,97
140,,,,,,,,,,,,,,,,,,,,,,,,,72,96
139,,,,,,,,,,,,,,,,,,,,,,,,,72,96
138,,,,,,,,,,,,,,,,,,,,,,,,,71,96
137,,,,,,,,,,,,,,,,,,,,,,,,,71,96
136,,,,,,,,,,,,,,,,,,,,,,,,,70,94
135,,,,,,,,,,,,,,,,,,,,,,,,,70,94
134,,,,,,,,,,,,,,,,,,,,,,,,,69,94
133,,,,,,,,,,,,,,,,,,,,,,,,,69,94
132,,,,,,,,,,,,,,,,,,,,,,,,,69,94
131,,,,,,,,,,,,,,,,,,,,,,,,,68,92
130,,,,,,,,,,,,,,,,,,,,,,,,,68,92
129,,,,,,,,,,,,,,,,,,,,,,,,,67,91
128,,,,,,,,,,,,,,,,,,,,,,,,,67,91
127,,,,,,,,,,,,,,,,,,,,,,,,,66,90
126,,,,,,,,,,,,,,,,,,,,,,,,,66,90
125,,,,,,,,,,,,,,,,,,,,,,,,,65,89
124,,,,,,,,,,,,,,,,,,,,,,,,,65,89
123,,,,,,,,,,,,,,,,,,,,,,,,,64,86
122,,,,,,,,,,,,,,,,,,,,,,,,,64,86
121,,,,,,,,,,,,,,,,,,,,,,,,,63,85
120,,,,,,,,,,,,,,,,,,,,,,,,,63,85
119,,,,,,,,,,,,,,,,,,,,,,,,,62,84
118,,,,,,,,,,,,,,,,,,,,,,,,,62,84
117,,,,,,,,,,,,,,,,,,,,,,,,,61,82
116,,,,,,,,,,,,,,,,,,,,,,,,,61,82
115,,,,,,,,,,,,,,,,,,,,,,,,,61,82
114,,,,,,,,,,,,,,,,,,,,,,,,,60,81
113,,,,,,,,,,,,,,,,,,,,,,,,,60,81
112,,,,,,,,,,,,,,,,,,,,,,,,,59,79
111,,,,,,,,,,,,,,,,,,,,,,,,,59,79
110,,,,,,,,,,,,,,,,,,,,,,,,,58,79
109,,,,,,,,,,,,,,,,,,,,,,,,,58,79
108,,,,,,,,,,,,,,,,,,,,,,,,,57,76
107,,,,,,,,,,,,,,,,,,,,,,,,,57,76
106,,,,,,,,,,,,,,,,,,,,,,,,,56,73
105,,,,,,,,,,,,,,,,,,,,,,,,,56,73
104,,,,,,,,,,,,,,,,,,,,,,,,,55,73
103,,,,,,,,,,,,,,,,,,,,,,,,,55,73
102,,,,,,,,,,,,,,,,,,,,,,,,,55,73
101,,,,,,,,,,,,,,,,,,,,,,,,,54,69
100,,,,,,,,,,,,,,,,,,,,,,,,,54,69
99,,,,,,,,,,,,,,,,,,,,,,,,,54,69
98,,,,,,,,,,,,,,,,,,,,,,,,,53,65
97,,,,,,,,,,,,,,,,,,,,,,,,,53,65
96,,,,,,,,,,,,,,,,,,,,,,,82,>99,52,63
95,,,,,,,,,,,,,,,,,,,,,,,82,>99,52,63
94,,,,,,,,,,,,,,,,,,,,,,,81,>99,52,63
93,,,,,,,,,,,,,,,,,,,,,,,80,>99,51,61
92,,,,,,,,,,,,,,,,,,,,,,,80,>99,51,61
91,,,,,,,,,,,,,,,,,,,,,,,79,>99,50,59
90,,,,,,,,,,,,,,,,,,,,,,,78,>99,50,59
89,,,,,,,,,,,,,,,,,,,,,,,77,99,50,59
88,,,,,,,,,,,,,,,,,,,,,,,77,99,49,56
87,,,,,,,,,,,,,,,,,,,,,,,76,99,49,56
86,,,,,,,,,,,,,,,,,,,,,,,75,99,48,54
85,,,,,,,,,,,,,,,,,,,,,,,75,99,48,54
84,,,,,,,,,,,,,,,,,,,,,,,74,98,48,54
83,,,,,,,,,,,,,,,,,,,,,,,73,96,47,49
82,,,,,,,,,,,,,,,,,,,,,,,72,96,47,49
81,,,,,,,,,,,,,,,,,,,,,,,72,96,46,45
80,,,,,,,,,,,,,,,,,,,,,,,71,94,46,45
79,,,,,,,,,,,,,,,,,,,,,,,70,92,46,45
78,,,,,,,,,,,,,,,,,,,,,,,70,92,45,42
77,,,,,,,,,,,,,,,,,,,,,,,69,92,45,42
76,,,,,,,,,,,,,,,,,,,,,,,68,92,45,42
75,,,,,,,,,,,,,,,,,,,,,,,67,91,44,37
74,,,,,,,,,,,,,,,,,,,,,,,67,91,44,37
73,,,,,,,,,,,,,,,,,,,,,,,66,91,43,35
72,,,,,,,,,,,,,,,,,,,,,,,65,90,43,35
71,,,,,,,,,,,,,,,,,,,,,,,65,90,43,35
70,,,,,,,,,,,,,,,,,,,,,,,64,88,42,32
69,,,,,,,,,,,,,,,,,,,,,,,63,87,42,32
68,,,,,,,,,,,,,,,,,,,,,,,62,86,41,27
67,,,,,,,,,,,,,,,,,,,,,,,62,86,41,27
66,,,,,,,,,,,,,,,,,,,,,,,61,83,41,27
65,,,,,,,,,,,,,,,,,,,,,,,60,82,40,21
64,,,,,,,,,,,,,,,,,,,,,,,60,82,40,21
63,,,,,,,,,,,,,,,,,,,,,,,59,79,39,17
62,,,,,,,,,,,,,,,,,,,,,,,58,77,39,17
61,,,,,,,,,,,,,,,,,,,,,,,58,77,39,17
60,,,,,,,,,,,,,,,,,,,,,,,57,73,38,6
59,,,,,,,,,,,,,,,,,,,,,,,56,72,,
58,,,,,,,,,,,,,,,,,,,,,,,55,69,,
57,,,,,,,,,,,,,,,,,,,,,,,54,67,,
56,,,,,,,,,,,,,,,,,,,,,,,53,65,,
55,,,,,,,,,,,,,,,,,,,,,,,53,65,,
54,,,,,,,,,,,,,,,,,,,,,,,52,61,,
53,,,,,,,,,,,,,,,,,,,,,,,52,61,,
52,,,,,,,,,,,,,,,,,,,,,,,51,59,,
51,,,,,,,,,,,,,,,,,,,,,,,50,57,,
50,,,,,,,,,,,,,,,,,,,,,,,50,57,,
49,,,,,,,,,,,,,,,,,,,,,,,49,52,,
48,,,,,,,,,,,,,,,,,,,,,90,>99,48,50,,
47,,,,,,,,,,,,,,,,,,,,,89,>99,48,50,,
46,,,,,,,,,,,,,,,,,,,,,87,>99,47,46,,
45,,,,,,,,,,,,,,,,,,,,,86,>99,47,46,,
44,,,,,,,,,,,,,,,,,,,,,84,>99,46,43,,
43,,,,,,,,,,,,,,,,,,,,,83,>99,45,42,,
42,,,,,,,,,,,,,,,,,,,,,81,>99,45,42,,
41,,,,,,,,,,,,,,,,,,,,,79,99,44,38,,
40,,,,,,,,,,,,,,,,,,,,,78,98,43,36,,
39,,,,,,,,,,,,,,,,,,,,,76,98,43,36,,
38,,,,,,,,,,,,,,,,,,,,,75,98,42,33,,
37,,,,,,,,,,,,,,,,,,,,,73,96,41,32,,
36,,,,,,,,,,,,,,,,,,,86,>99,72,96,41,32,,
35,,,,,,,,,,,,,,,,,,,84,>99,70,96,40,25,,
34,,,,,,,,,,,,,,,,,,,82,>99,69,94,40,25,,
33,,,,,,,,,,,,,,,,,,,80,>99,67,94,39,15,,
32,,,,,,,,,,,,,,,,,,,78,>99,65,93,38,10,,
31,,,,,,,,,,,,,,,,,,,76,99,64,91,,,,
30,,,,,,,,,,,,,,,,,,,74,98,62,88,,,,
29,,,,,,,,,,,,,,,,,,,72,97,61,85,,,,
28,,,,,,,,,,,,,,,,,,,70,96,59,83,,,,
27,,,,,,,,,,,,,,,,,,,69,94,58,82,,,,
26,,,,,,,,,,,,,,,,,,,67,92,56,77,,,,
25,,,,,,,,,,,,,,,,,,,65,91,55,74,,,,
24,88,>99,,,>90,>99,84,>99,,,85,>99,80,>99,,,,,63,89,53,70,,,,
23,85,>99,,,88,>99,82,>99,,,82,>99,77,99,,,,,61,85,52,68,,,,
22,82,99,,,85,>99,80,99,,,77,99,74,98,,,,,59,82,50,65,,,,
21,79,99,,,82,>99,76,98,,,76,98,72,95,,,,,57,79,48,59,,,,
20,76,99,,,79,99,74,96,,,72,98,69,92,,,,,55,76,47,54,,,,
19,73,97,,,76,98,72,96,,,71,96,67,90,,,,,53,69,45,47,,,,
18,70,94,,,72,96,68,94,,,67,94,64,88,,,76,>99,51,65,44,40,,,,
17,67,94,,,69,95,66,94,,,65,92,61,84,,,73,98,49,60,42,33,,,,
16,64,92,,,66,94,64,90,,,61,88,59,75,,,70,95,47,52,41,22,,,,
15,61,87,,,63,91,60,84,79,>99,59,81,56,70,73,>99,67,93,45,46,,,,,,
14,58,83,,,60,86,58,80,75,>99,56,74,53,61,69,96,63,90,43,40,,,,,,
13,55,78,,,57,79,55,75,71,97,53,69,50,55,66,94,60,86,41,27,,,,,,
12,52,74,78,>99,54,73,53,71,67,93,51,64,48,49,62,90,58,82,39,17,,,,,,
11,49,64,74,99,50,69,49,65,63,90,48,58,45,42,59,86,55,72,,,,,,,,
10,46,56,69,97,47,58,47,58,59,85,46,50,43,35,56,77,52,65,,,,,,,,
9,43,42,63,93,44,48,45,48,55,71,43,41,40,29,52,62,49,58,,,,,,,,
8,40,23,59,84,41,31,41,33,51,63,40,29,38,19,49,51,46,49,,,,,,,,
7,,,54,70,,,,,47,52,,,,,45,44,43,38,,,,,,,,
6,,,49,57,,,,,43,44,,,,,42,36,40,27,,,,,,,,
5,,,44,46,,,,,40,29,,,,,38,26,,,,,,,,,,
4,,,39,28,,,,,,,,,,,,,,,,,,,,,,
