T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,10+,11+,10+,10+,9+,9+,8+,11+,11+,8+,7+,10+,10+
89,9,,,,,,,,,7,,,
88,,,,,,8,,10,10,,6,9,9
87,,10,,,,,,,,,,,
86,,,9,,8,,,,,,,,
85,,,,9,,,,,,,,,
84,8,,,,,,7,9,9,,,,
83,,,,,,,,,,6,,8,8
82,,9,8,,,7,,,,,,,
81,,,,8,7,,,,,,5,,
80,,,,,,,,,,,,,
79,7,,,,,,,8,8,,,7,7
78,,8,,,,,6,,,,,,
77,,,7,,,6,,,,,,,
76,,,,7,6,,,,,5,,,
75,,,,,,,,7,7,,,,
74,6,7,,,,,,,,,,6,6
73,,,,,,,5,,,,4,,
72,,,6,6,,,,,,,,,
71,,,,,5,5,,6,6,,,,
70,,6,,,,,,,,4,,,
69,5,,,,,,,,,,,5,5
68,,,5,5,,,,,,,,,
67,,,,,,,4,,,,,,
66,,,,,4,4,,5,5,,3,,
65,,5,,,,,,,,,,4,4
64,4,,,,,,,,,3,,,
63,,,4,4,,,,,,,,,
62,,,,,,,,4,4,,,,
61,,4,,,3,,3,,,,,,
60,,,,,,3,,,,,,3,3
59,3,,3,3,,,,,,,2,,
58,,,,,,,,,,,,,
57,,3,,,,,,3,3,2,,,
56,,,,,,,2,,,,,2,2
55,,,,,2,2,,,,,,,
54,2,,2,2,,,,,,,,,
53,,2,,,,,,2,2,,,,
52,,,,,,,,,,,,,
51,,,,,,,,,,1,1,1,1
50,,,1,1,1,,1,,,,,,
49,1,1,,,,1,,1,1,,,,
48,,,,,,,,,,,,,
47,,,,,,,,,,,,,
46,,,,,,,,,,,,0,0
45,,,0,0,0,,,,,,,,
44,0,0,,,,,0,0,0,0,0,,
43,,,,,,0,,,,,,,
42,,,,,,,,,,,,,
41,,,,,,,,,,,,,
<= 40,,,,,,,,,,,,,
