T,6,7,8,9,10,11,12,13,14,15,16,17,18
>=90,11+,10+,11+,9+,12+,12+,14+,11+,13+,12+,13+,13+,13+
89,,,10,,11,11,13,,,,,,
88,,,,,,,,10,,,,,
87,10,,,,,,,,12,,12,,
86,,9,,8,,,,,,11,,12,12
85,,,,,10,,12,,,,,,
84,,,9,,,10,,,,,11,,
83,,,,,,,,9,11,,,11,11
82,9,,,,,,11,,,10,,,
81,,8,,,9,,,,,,,,
80,,,8,7,,9,,,,,10,,
79,,,,,,,,8,10,,,10,10
78,8,,,,,,10,,,9,,,
77,,,,,8,,,,,,,,
76,,7,,,,8,,,9,,9,,
75,,,7,6,,,9,,,8,,9,9
74,,,,,,,,7,,,,,
73,7,,,,7,,,,,,8,,
72,,,,,,7,,,8,,,8,8
71,,6,,,,,8,,,7,,,
70,,,6,5,,,,6,,,,,
69,6,,,,,,,,7,,7,,
68,,,,,6,6,7,,,,,7,7
67,,5,,,,,,,,6,,,
66,,,,,,,,5,,,6,,
65,,,5,,,,,,6,,,6,6
64,5,,,4,5,,6,,,,,,
63,,,,,,5,,,,5,,,
62,,4,,,,,,,,,5,,
61,,,,,,,5,4,5,,,5,5
60,4,,4,,4,,,,,,,,
59,,,,3,,4,,,,4,,,
58,,,,,,,,,4,,4,,
57,,3,,,,,4,3,,,,4,4
56,,,3,,3,,,,,3,,,
55,3,,,,,3,,,,,3,,
54,,,,2,,,3,,3,,,3,3
53,,,,,,,,2,,,,,
52,,2,,,2,,,,,2,,,
51,2,,2,,,2,,,2,,2,,
50,,,,,,,2,,,,,2,2
49,,,,,,,,,,,,,
48,,1,,1,1,,,1,,1,,,
47,1,,,,,1,1,,1,,1,,
46,,,1,,,,,,,,,1,1
45,,,,,,,,,,,,,
44,,,,,,,,0,,0,0,,
43,,0,,0,0,,0,,0,,,0,0
42,0,,,,,0,,,,,,,
41,,,0,,,,,,,,,,
<=40,,,,,,,,,,,,,
