T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,8+,11+,10+,12+,12+,15+,16+,18+,16+,18+,16+,18+,18+
89,,,,,,,15,17,,17,,,
88,,,,,,,,,,,,,
87,,10,,,,14,,,15,,15,17,17
86,,,9,11,11,,14,16,,16,,,
85,,,,,,,,,,,,16,16
84,7,,,,,13,,,14,15,14,,
83,,,,,,,13,15,,,,,
82,,9,8,10,10,,,,,,,15,15
81,,,,,,12,,,13,14,13,,
80,,,,,,,12,14,,,,,
79,,,,,,,,,,,,14,14
78,6,8,,9,9,,,13,12,13,12,,
77,,,7,,,11,11,,,,,13,13
76,,,,,,,,,,,,,
75,,,,8,,,,12,,12,11,,
74,,,,,8,10,10,,11,,,12,12
73,5,7,,,,,,,,11,,,
72,,,6,,,,,11,,,10,11,11
71,,,,7,,9,,,10,,,,
70,,,,,7,,9,,,10,,,
69,,6,,,,,,10,,,9,10,10
68,,,,,,8,,,9,,,,
67,4,,5,6,6,,8,,,9,,,
66,,,,,,,,9,,,8,9,9
65,,,,,,7,,,8,8,,,
64,,5,,,,,7,8,,,,8,8
63,,,,5,5,,,,,,7,,
62,,,4,,,6,,,7,7,,,
61,3,,,,,,6,7,,,,7,7
60,,4,,,,,,,,,6,,
59,,,,4,4,5,,,6,6,,,
58,,,,,,,5,6,,,5,6,6
57,,,3,,,,,,,,,,
56,,3,,,,,,,5,5,,5,5
55,2,,,3,3,4,4,5,,,4,,
54,,,,,,,,,,4,,,
53,,,,,,,,4,4,,,4,4
52,,,2,,,3,3,,,,3,,
51,,2,,2,2,,,,,3,,,
50,,,,,,,,3,3,,,3,3
49,1,,,,,2,2,,,,2,,
48,,,,,1,,,,,2,,2,2
47,,1,1,1,,,,2,2,,,,
46,,,,,,1,1,,,,1,,
45,,,,,,,,,,1,,1,1
44,,,,,0,,,1,1,,,,
43,0,,,0,,0,0,,,0,0,0,0
42,,0,0,,,,,,,,,,
41,,,,,,,,0,0,,,,
<= 40,,,,,,,,,,,,,
