T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,27+,30+,28+,30+,23+,20+,23+,22+,22+,16+,17+,17+,17+
89,,,,29,22,,,21,21,,,16,16
88,26,29,27,28,,,22,,,,,,
87,,,,,21,19,,,,15,16,,
86,25,28,26,27,,,21,20,20,,,15,15
85,,27,,,20,,,,,,,,
84,24,,25,26,,18,,19,19,14,15,,
83,,26,,,,,20,,,,,14,14
82,23,,24,25,19,17,,18,18,,,,
81,,25,,24,,,19,,,13,14,,
80,22,,23,,18,,,,,,,13,13
79,,24,22,23,,16,18,17,17,,,,
78,21,23,,,17,,,,,12,13,,
77,,,21,22,,15,17,16,16,,,12,12
76,20,22,,,16,,,,,,12,,
75,,,20,21,,,16,15,15,11,,,
74,19,21,,20,,14,,,,,,11,11
73,,,19,,15,,15,14,14,,11,,
72,18,20,,19,,13,,,,10,,,
71,,,18,,14,,14,,,,,10,10
70,17,19,17,18,,,,13,13,,10,,
69,,18,,,13,12,13,,,9,,9,9
68,16,,16,17,,,,12,12,,,,
67,,17,,,,11,12,,,,9,,
66,15,,15,16,12,,,11,11,8,,8,8
65,,16,,15,,,,,,,,,
64,14,,14,,11,10,11,,,,8,,
63,,15,,14,,,,10,10,7,,7,7
62,13,14,13,,10,9,10,,,,,,
61,,,12,13,,,,9,9,,7,,
60,12,13,,,9,,9,,,6,,6,6
59,,,11,12,,8,,8,8,,6,,
58,,12,,11,,,8,,,,,,
57,11,,10,,8,7,,,,5,,5,5
56,,11,,10,,,7,7,7,,5,,
55,10,,9,,7,,,,,,,,
54,,10,,9,,6,6,6,6,4,,4,4
53,9,9,8,,6,,,,,,4,,
52,,,7,8,,,5,5,5,,,,
51,8,8,,7,,5,,,,3,,3,3
50,,,6,,5,,4,4,4,,3,,
49,7,7,,6,,4,,,,,,,
48,,,5,,4,,3,,,,,2,2
47,6,6,,5,,,,3,3,2,2,,
46,,5,4,,3,3,,,,,,,
45,5,,,4,,,2,2,2,,1,1,1
44,,4,3,,2,2,,,,1,,,
43,4,,,3,,,1,1,1,,,0,0
42,,3,2,2,,,,,,,0,,
41,3,,1,,1,1,0,,,0,,,
<= 40,2,2,0,1,0,0,,0,0,,,,
<= 40,1,1,,0,,,,,,,,,
<= 40,0,0,,,,,,,,,,,
