T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,9+,10+,8+,8+,11+,8+,9+,11+,14+,12+,14+,12+,12+
89,,9,,,,,8,10,,11,,11,11
88,,,,,10,,,,,,,,
87,,,,,,,,,13,,13,,
86,,,7,,,7,,,,,,,
85,8,,,,,,,,,10,,10,10
84,,8,,7,9,,7,9,12,,12,,
83,,,,,,,,,,,,,
82,,,,,,,,,,,,,
81,7,,,,,,,,,9,11,9,9
80,,,6,,8,6,,8,11,,,,
79,,7,,6,,,,,,,,,
78,,,,,,,6,,,,,,
77,,,,,,,,,10,8,10,8,8
76,6,,,,,,,,,,,,
75,,,,,7,,,7,,,,,
74,,6,5,,,5,,,9,,9,,
73,,,,5,,,,,,7,,7,7
72,,,,,,,5,,,,,,
71,5,,,,6,,,6,,,8,,
70,,,,,,,,,8,,,,
69,,5,,,,,,,,,,,
68,,,4,,,4,,,,6,,6,6
67,,,,4,5,,4,,7,,7,,
66,4,,,,,,,5,,,,,
65,,,,,,,,,,,,,
64,,4,,,,,,,6,5,6,5,5
63,,,,,,,,,,,,,
62,,,3,,4,,,,,,,,
61,3,,,3,,3,3,4,,,5,,
60,,,,,,,,,5,4,,4,4
59,,3,,,,,,,,,,,
58,,,,,3,,,,,,,,
57,,,,,,,,3,4,,4,,
56,2,,2,,,,,,,3,,3,3
55,,,,2,,2,2,,,,,,
54,,2,,,2,,,,,,3,,
53,,,,,,,,,3,,,,
52,1,,,,,,,2,,,,2,2
51,,,,,,,,,,2,2,,
50,,,1,1,,,1,,2,,,,
49,,1,,,1,1,,,,,,,
48,,,,,,,,1,,,,1,1
47,0,,,,,,,,1,1,1,,
46,,,,,,,,,,,,,
45,,,,,0,,,,,,,,
44,,0,0,0,,,0,,,,0,0,0
43,,,,,,0,,0,0,0,,,
42,,,,,,,,,,,,,
41,,,,,,,,,,,,,
<= 40,,,,,,,,,,,,,
