T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,19+,22+,22+,22+,21+,23+,27,24+,27,23+,,,
89,,,21,,20,,26,,,,,,
88,,21,,,,22,,23,26,22,,,
87,18,,20,21,,,25,,,,,,
86,,,,,19,21,,22,25,,27,,
85,,20,,20,,,24,,24,21,,,
84,17,,19,,18,,,,,,26,27,27
83,,19,,,,20,23,21,23,20,25,,
82,,,18,19,,,,,,,,26,26
81,16,18,,,17,19,22,20,22,19,24,25,25
80,,,,18,,,,,,,,,
79,15,,17,,,18,21,19,21,18,23,24,24
78,,17,,17,16,,,,,,22,,
77,,,16,,,,20,18,20,,,23,23
76,14,16,,,,17,,,,17,21,22,22
75,,,15,16,15,,19,17,19,,,,
74,,,,,,16,,,,16,20,21,21
73,13,15,,15,14,,18,16,18,,19,,
72,,,14,,,15,,,,15,,20,20
71,,14,,,,,17,,17,,18,19,19
70,12,,13,14,13,,,15,,,,,
69,,13,,,,14,16,,16,14,17,18,18
68,,,,13,,,,14,,,,,
67,11,,12,,12,13,15,,15,13,16,17,17
66,,12,,,,,,13,,,15,16,16
65,,,11,12,11,12,14,,14,12,,,
64,10,11,,,,,,12,,,14,15,15
63,,,,11,,,13,,13,11,,,
62,,10,10,,10,11,,11,,,13,14,14
61,9,,,,,,12,,12,,12,13,13
60,,,9,10,,10,,,11,10,,,
59,8,9,,,9,,11,10,,,11,12,12
58,,,,9,,9,,,10,9,,,
57,,8,8,,8,,10,9,,,10,11,11
56,7,,,,,,,,9,8,9,10,10
55,,,7,8,,8,9,8,,,,,
54,,7,,,7,,,,8,7,8,9,9
53,6,,,7,,7,8,7,,,,,
52,,6,6,,,,,,7,,7,8,8
51,,,,6,6,6,7,6,,6,6,7,7
50,5,5,5,,,,,,6,,,,
49,,,,,5,,6,,,5,5,6,6
48,,,4,5,,5,,5,5,,,5,5
47,4,4,,,,,5,,,4,4,,
46,,,,4,4,4,,4,4,,3,4,4
45,,3,3,,,,4,,,3,,,
44,3,,,,,3,3,3,3,,2,3,3
43,,,2,3,3,,,,,,,2,2
42,,2,,,,,2,2,2,2,1,,
41,2,,,2,,2,,,,,0,1,1
<= 40,1,1,1,1,2,1,1,1,1,1,,0,0
<= 40,0,0,0,0,1,0,0,0,0,0,,,
<= 40,,,,,0,,,,,,,,
