T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,25+,26+,26+,26+,,27,,,,,,,
89,24,25,,,27,26,,,,,,,
88,,,25,25,,,,,,27,,,
87,,24,,,26,25,,,,,,,
86,23,,24,24,,,,27,,26,27,27,27
85,,23,,,25,24,,,,,,,
84,22,,23,23,,,,26,27,25,26,26,26
83,,22,,,24,,,,,,,,
82,21,,22,22,,23,,25,26,24,25,25,25
81,,,,,23,,,,,,24,24,24
80,20,21,21,21,,22,27,24,25,23,,,
79,,,,,22,,,23,,,23,23,23
78,,20,,20,,21,26,,24,22,,,
77,19,,20,,21,,25,22,23,,22,22,22
76,,19,,,,20,,,,21,,,
75,18,,19,19,20,,24,21,22,,21,21,21
74,,18,,,,19,,,,20,,,
73,17,,18,18,19,,23,20,21,,20,20,20
72,,17,,,,,22,,,19,,,
71,16,,17,17,18,18,,19,20,,19,19,19
70,,,,,,,21,,,18,,,
69,15,16,16,16,17,17,20,18,19,17,18,18,18
68,,,,,,,,,18,,17,17,17
67,,15,15,15,16,16,19,17,,16,,,
66,14,,,,,,18,,17,,16,16,16
65,,14,14,14,15,15,,16,,15,,,
64,13,,,,,,17,15,16,,15,15,15
63,,13,13,13,14,14,,,,14,,,
62,12,,,,,,16,14,15,,14,14,14
61,,12,12,,13,,15,,,13,,,
60,11,,,12,,13,,13,14,,13,13,13
59,,,11,,12,,14,,13,12,,,
58,10,11,,11,,12,13,12,,,12,12,12
57,,,10,,11,,,,12,11,11,11,11
56,,10,,10,,11,12,11,,,,,
55,9,,9,,10,,,,11,10,10,10,10
54,,9,,9,,10,11,10,,,,,
53,8,,8,,9,,10,,10,9,9,9,9
52,,8,,8,,9,,9,,,,,
51,7,,7,,8,,9,,9,8,8,8,8
50,,7,,7,,,8,8,8,,,,
49,6,,,,7,8,,7,,7,7,7,7
48,,6,6,6,,,7,,7,6,,,
47,5,,,,6,7,6,6,,,6,6,6
46,,,5,,,,,,6,5,,,
45,,5,,5,5,6,5,5,,,5,5,5
44,4,,4,,,,,,5,4,4,4,4
43,,4,,4,4,5,4,4,,,,,
42,3,,3,,,,3,,4,3,3,3,3
41,,3,,3,3,4,,3,3,,,,
<= 40,2,2,2,2,2,3,2,2,2,2,2,2,2
<= 40,1,1,1,1,1,2,1,1,1,1,1,1,1
<= 40,0,0,0,0,0,1,0,0,0,0,0,0,0
<= 40,,,,,,0,,,,,,,
,,,,,,,,,,,,,
