T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,21+,21+,21+,23+,20+,20+,20+,18+,21+,21+,23+,23+,23+
89,,,20,,,,19,,20,,,,
88,20,20,,22,19,19,,,,,22,22,22
87,,,,,,,,17,,20,,,
86,,,19,21,18,,18,,19,,21,21,21
85,19,19,,,,18,,,,19,,,
84,,,18,20,,,17,16,18,,20,20,20
83,18,18,,,17,17,,,,18,,,
82,,,,,,,,15,17,,19,19,19
81,,,17,19,16,,16,,,17,,,
80,17,17,,,,16,,,,,18,18,18
79,,,,18,,,15,14,16,,,,
78,16,16,16,,15,15,,,,16,17,17,17
77,,,,17,,,,,15,,,,
76,,,15,,14,,14,13,,15,16,,
75,15,15,,16,,14,,,,,,16,16
74,,,,,,,,,14,14,15,,
73,,14,14,15,13,13,13,12,,,,15,15
72,14,,,,,,,,13,13,14,,
71,,,13,,,,12,11,,,,14,14
70,13,13,,14,12,12,,,12,,13,,
69,,,,,,,,,,12,,13,13
68,,12,12,13,11,11,11,10,,,,,
67,12,,,,,,,,11,11,12,12,12
66,,11,11,12,,,10,,,,,,
65,11,,,,10,10,,9,10,10,11,11,11
64,,,,11,,,,,,,,,
63,,10,10,,9,9,9,8,9,9,10,,
62,10,,,10,,,,,,,,10,10
61,,9,9,,,,8,,,,9,,
60,9,,,9,8,8,,7,8,8,,9,9
59,,,,,,,,,,,8,,
58,,8,8,,7,7,7,,7,7,,8,8
57,8,,,8,,,,6,,,7,,
56,,7,7,,,,6,,,6,,7,7
55,,,,7,6,6,,5,6,,6,,
54,7,,,,,,,,,5,,6,6
53,,6,6,6,5,5,5,,5,,5,,
52,6,,,,,,,4,,,,5,5
51,,5,,5,,,4,,4,4,4,,
50,,,5,,4,4,,,,,,4,4
49,5,,,4,,,,3,,3,3,,
48,,4,4,,3,3,3,,3,,,,
47,4,,,,,,,2,,2,2,3,3
46,,3,,3,,,,,2,,,,
45,,,3,,2,2,2,,,1,,2,2
44,3,2,,2,,,,1,,,1,,
43,,,2,,1,1,1,,1,,,1,1
42,2,,,1,,,,,,0,0,,
41,,1,,,,,,0,0,,,0,0
<= 40,1,0,1,0,0,0,0,,,,,,
<= 40,0,,0,,,,,,,,,,
