T,6,7,8,9,10,11,12,13,14,15,16,17,18
>=90,33+,37+,34+,35+,30+,26+,29+,29+,29+,26+,25+,22+,22+
89,32,,,34,29,25,28,28,28,25,,,
88,31,36,33,,,,,27,27,,24,21,21
87,,35,32,33,28,24,27,,,24,,,
86,30,,,32,,,,26,26,,23,20,20
85,,34,31,,27,23,26,,,23,,,
84,29,33,30,31,26,,25,25,25,,22,19,19
83,28,32,,30,,22,,,,22,,,
82,,,29,,25,,24,24,24,,21,18,18
81,27,31,28,29,,21,,,,21,,,
80,,30,,28,24,,23,23,23,,20,17,17
79,26,,27,,23,20,22,22,22,20,,,
78,25,29,26,27,,,,,,,19,16,16
77,,28,,26,22,19,21,21,21,19,,,
76,24,27,25,,,,,,,,18,15,15
75,,,24,25,21,18,20,20,20,18,17,,
74,23,26,,24,20,,19,,,,,,
73,,25,23,,,17,,19,19,17,16,14,14
72,22,,22,23,19,,18,18,18,,,,
71,21,24,,22,,16,,,,16,15,13,13
70,,23,21,,18,,17,17,17,,,,
69,20,,20,21,,15,,,,15,14,12,12
68,,22,,20,17,,16,16,16,14,,,
67,19,21,19,,16,14,15,,,,13,11,11
66,18,20,18,19,,,,15,15,13,,,
65,,,,18,15,13,14,14,14,,12,10,10
64,17,19,17,17,,,,,,12,,,
63,,18,16,,14,12,13,13,13,,11,9,9
62,16,,,16,13,,12,,,11,,,
61,15,17,15,15,,11,,12,12,,10,,
60,,16,14,,12,,11,,,10,,8,8
59,14,15,,14,,10,,11,11,,9,,
58,,,13,13,11,,10,10,10,9,,7,7
57,13,14,12,,10,9,,,,,8,,
56,12,13,,12,,,9,9,9,8,,6,6
55,,,11,11,9,8,8,,,,7,,
54,11,12,10,,,,,8,8,7,6,5,5
53,,11,,10,8,7,7,,,,,,
52,10,10,9,9,7,,,7,7,6,5,4,4
51,9,,8,,,6,6,6,6,,,,
50,,9,7,8,6,,5,,,5,4,3,3
49,8,8,,7,,5,,5,5,,,,
48,,,6,,5,,4,,,4,3,,
47,7,7,5,6,,4,,4,4,,,2,2
46,6,6,,5,4,,3,,,3,2,,
45,,5,4,,3,3,,3,3,,,1,1
44,5,,3,4,,,2,2,2,2,1,,
43,,4,,3,2,2,1,,,1,,0,0
42,4,3,2,,,,,1,1,,0,,
41,3,,1,2,1,1,0,,,0,,,
<=40,2,2,0,1,0,0,,0,0,,,,
<=40,1,1,,0,,,,,,,,,
<=40,0,0,,,,,,,,,,,
