T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,19+,19+,21+,21+,21+,24+,20+,18+,19+,20+,21+,22+,22+
89,,,,20,20,23,,,,,,21,21
88,,,20,,,,19,17,18,19,20,,
87,18,18,,,19,22,,,,,,20,20
86,,,19,19,,,,,,,,,
85,,,,,,21,18,16,17,18,19,,
84,17,17,,18,18,,,,,,,19,19
83,,,18,,,20,17,,16,17,18,,
82,16,16,,,17,,,15,,,,18,18
81,,,17,17,,,,,,,17,,
80,,,,,,19,16,,15,16,,17,17
79,15,15,16,16,16,,,14,,,,,
78,,,,,,18,15,,,15,16,,
77,,,,,15,,,,14,,,16,16
76,14,14,15,15,,17,,13,,,15,,
75,,,,,,,14,,,14,,15,15
74,,13,14,14,14,16,,,13,,14,,
73,13,,,,,,13,12,,13,,14,14
72,,,,,13,15,,,12,,,,
71,12,12,13,13,,,,11,,,13,,
70,,,,,,14,12,,,12,,13,13
69,,,12,12,12,,,,11,,12,,
68,11,11,,,,13,11,10,,11,,12,12
67,,,11,,11,,,,,,,,
66,,10,,11,,12,,,10,,11,11,11
65,10,,,,,,10,9,,10,,,
64,,,10,10,10,,,,9,,10,,
63,,9,,,,11,,,,9,,10,10
62,9,,9,,9,,9,8,,,9,,
61,,,,9,,10,,,8,,,9,9
60,8,8,,,,,8,,,8,,,
59,,,8,8,8,9,,7,,,8,8,8
58,,7,,,,,,,7,7,,,
57,7,,7,,7,8,7,6,,,7,,
56,,,,7,,,,,6,,,7,7
55,,6,,,6,7,6,,,6,6,,
54,6,,6,6,,,,5,,,,6,6
53,,,,,,6,,,5,5,,,
52,,5,5,,5,,5,,,,5,5,5
51,5,,,5,,5,,4,,4,,,
50,,4,4,,4,,4,,4,,4,,
49,4,,,4,,4,,,,,,4,4
48,,,,,,,,3,3,3,,,
47,,3,3,,3,3,3,,,,3,3,3
46,3,,,3,,,,,,2,,,
45,,2,2,,2,,2,2,2,,2,2,2
44,,,,2,,2,,,,,,,
43,2,,,,,,,,,1,1,,
42,,1,1,,1,1,1,1,1,,,1,1
41,,,,1,,,,,,0,,,
<= 40,1,0,0,0,0,0,0,0,0,,0,0,0
<= 40,0,,,,,,,,,,,,
