T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,26+,23+,22+,22+,21+,22+,23+,22+,22+,18+,20+,21+,21+
89,25,,21,21,20,,22,21,21,,19,,
88,,22,,,,21,,,,17,,20,20
87,24,,,20,,,21,,,,,,
86,,21,20,,19,20,,20,20,16,18,,
85,23,,,19,,,20,,,,,19,19
84,,,19,,18,19,,19,19,,17,,
83,22,20,,,,,,,,15,,18,18
82,,,18,18,17,,19,18,18,,,,
81,21,19,,,,18,,,,,16,17,17
80,,,,17,,,18,,,14,,,
79,20,18,17,,16,17,,17,17,,15,,
78,,,,16,,,17,,,,,16,16
77,19,17,16,,15,16,,16,16,13,,,
76,,,,,,,16,,,,14,15,15
75,18,,15,15,,,,15,15,,,,
74,,16,,,14,15,15,,,12,13,14,14
73,17,,,14,,,,,,,,,
72,,15,14,,13,14,14,14,14,,,,
71,16,,,13,,,,,,11,12,13,13
70,,14,13,,,13,,13,13,,,,
69,15,,,,12,,13,,,,,12,12
68,,,12,12,,,,12,12,10,11,,
67,14,13,,,11,12,12,,,,,11,11
66,,,,11,,,,,,,10,,
65,13,12,11,,,11,11,11,11,9,,,
64,,,,10,10,,,,,,,10,10
63,12,11,10,,,10,10,10,10,,9,,
62,,,,,9,,,,,8,,9,9
61,11,10,,9,,,9,9,9,,8,,
60,,,9,,8,9,,,,,,8,8
59,10,,,8,,,,,,7,,,
58,,9,8,,,8,8,8,8,,7,7,7
57,9,,,7,7,,,,,,,,
56,,8,7,,,7,7,7,7,6,6,,
55,,,,,6,,,,,,,6,6
54,8,7,,6,,6,6,6,6,,,,
53,,,6,,,,,,,5,5,5,5
52,7,,,5,5,,5,5,5,,,,
51,,6,5,,,5,,,,,,4,4
50,6,,,,4,,4,,,4,4,,
49,,5,4,4,,4,,4,4,,,,
48,5,,,,,,3,,,,3,3,3
47,,4,,3,3,3,,3,3,3,,,
46,4,,3,,,,,,,,,2,2
45,,3,,2,2,,2,2,2,2,2,,
44,3,,2,,,2,,,,,,1,1
43,,,,,,,1,,,,1,,
42,2,2,1,1,1,1,,1,1,1,,,
41,,,,,,,0,,,,,0,0
<= 40,1,1,0,0,0,0,,0,0,0,0,,
<= 40,0,0,,,,,,,,,,,
