T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,18+,17+,16+,14+,13+,17+,19+,18+,18+,23+,22+,21+,21+
89,17,,,,,,,17,,22,,20,20
88,,16,,,,,18,,,,21,,
87,,,15,,,16,,16,17,21,,19,19
86,16,,,13,12,,,,,,20,,
85,,15,,,,,17,,,20,,18,18
84,,,14,,,15,,15,16,,19,,
83,15,,,12,,,,,,19,,,
82,,14,,,11,,16,,15,,,17,17
81,,,13,,,14,,14,,18,18,,
80,14,,,,,,15,,,,,16,16
79,,13,,11,,,,,14,17,17,,
78,,,12,,10,13,,13,,,,15,15
77,13,,,,,,14,,,16,16,,
76,,12,,10,,,,,13,,,,
75,,,,,9,12,13,12,,15,15,14,14
74,12,,11,,,,,,12,,,,
73,,11,,,,,,11,,,14,13,13
72,11,,,9,,11,12,,,14,,,
71,,,10,,8,,,,11,,13,,
70,,10,,,,10,11,10,,13,,12,12
69,10,,,,,,,,,,12,,
68,,,9,8,,,,,10,12,,11,11
67,,9,,,7,9,10,9,,,,,
66,9,,,,,,,,,11,11,10,10
65,,8,8,7,,,9,,9,,,,
64,,,,,,8,,8,,10,10,,
63,8,,,,6,,,,8,,,9,9
62,,7,,,,,8,,,9,9,,
61,,,7,6,,7,,7,,,,8,8
60,7,,,,,,7,,7,8,8,,
59,,6,,,5,,,6,,,,,
58,,,6,5,,6,,,,7,7,7,7
57,6,,,,,,6,,6,,,,
56,,5,,,4,,,5,,6,6,6,6
55,5,,5,,,5,5,,5,,,,
54,,,,4,,,,,,5,5,5,5
53,,4,,,,,,4,,,,,
52,4,,4,,3,4,4,,4,4,,,
51,,,,3,,,,,,,4,4,4
50,,3,,,,,,3,,3,,,
49,3,,,,,3,3,,3,,3,3,3
48,,,3,,2,,,,,2,,,
47,,2,,2,,,2,2,2,,2,,
46,2,,,,,2,,,,,,2,2
45,,,2,,,,,,,1,1,,
44,,1,,1,1,1,1,1,1,,,1,1
43,1,,,,,,,,,0,0,,
42,,,1,,,,0,0,,,,0,0
41,,0,,,,0,,,0,,,,
<= 40,0,,0,0,0,,,,,,,,
