T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,16+,17+,15+,17+,15+,16+,18+,19+,19+,17+,19+,18+,18+
89,15,,,16,,,,,,16,18,17,17
88,,,14,,14,,17,,,,,,
87,,16,,,,15,,18,18,,,,
86,14,,,15,,,,,,15,17,16,16
85,,,13,,13,,16,17,17,,,,
84,,15,,,,14,,,,,16,15,15
83,13,,,14,,,,,,14,,,
82,,14,,,,,15,16,16,,,,
81,,,12,,12,13,,,,,15,14,14
80,12,,,13,,,14,,,13,,,
79,,13,,,,,,15,15,,,,
78,,,11,,11,12,,,,,14,13,13
77,11,,,12,,,13,14,14,12,,,
76,,12,,,,,,,,,13,,
75,,,10,,10,11,,,,,,12,12
74,,,,11,,,12,13,13,11,,,
73,10,11,,,,,,,,,12,,
72,,,,,,,11,12,12,,,11,11
71,,,9,10,9,10,,,,10,,,
70,9,10,,,,,,,,,11,10,10
69,,,,,,,10,11,11,,,,
68,,,8,9,8,9,,,,9,10,,
67,8,9,,,,,,,,,,9,9
66,,,,,,,9,10,10,,,,
65,,,7,8,7,8,,,,8,9,,
64,7,8,,,,,,9,9,,,8,8
63,,,,,,,8,,,,8,,
62,,,,7,,7,,,,7,,,
61,,7,6,,6,,7,8,8,,,7,7
60,6,,,,,,,,,,7,,
59,,,,6,,6,,7,7,6,,,
58,,6,5,,5,,6,,,,,6,6
57,5,,,,,,,,,,6,,
56,,,,5,,,,6,6,5,,,
55,,5,,,4,5,5,,,,5,5,5
54,4,,4,,,,,,,,,,
53,,4,,4,,,4,5,5,4,,4,4
52,,,,,,4,,,,,4,,
51,3,,3,,3,,,4,4,,,,
50,,3,,3,,,3,,,3,3,3,3
49,,,,,,3,,,,,,,
48,2,,2,,2,,,3,3,,,,
47,,2,,2,,,2,,,2,2,2,2
46,,,,,,2,,2,2,,,,
45,,,,,1,,,,,,,,
44,1,1,1,1,,,1,,,1,1,1,1
43,,,,,,1,,1,1,,,,
42,,,,,,,0,,,,0,,
41,0,0,0,0,0,,,,,0,,0,0
<= 40,,,,,,0,,0,0,,,,
