T,6,7,8,9,10,11,12,13,14,15,16,17,18
>= 90,14+,16+,16+,15+,14+,13+,15+,13+,14+,15+,15+,16+,16+
89,,15,15,,,,,12,,,,,
88,,,,,,,14,,,14,,15,15
87,,,,,,,,,,,14,,
86,13,,,14,13,12,,,13,,,,
85,,14,14,,,,13,11,,13,,14,14
84,,,,,,,,,,,13,,
83,,,,13,12,,,,12,,,,
82,12,13,13,,,11,,,,12,,,
81,,,,,,,12,10,,,,13,13
80,,,,12,,,,,,,12,,
79,11,12,12,,11,,,,11,11,,,
78,,,,,,10,11,,,,,12,12
77,,,,,,,,9,,,11,,
76,,11,11,11,10,,,,10,,,,
75,10,,,,,,10,,,10,,11,11
74,,,,,,9,,,,,10,,
73,,,,10,,,,8,,,,,
72,,10,10,,9,,,,9,9,,10,10
71,9,,,,,8,9,,,,9,,
70,,,,9,,,,,,,,,
69,,9,9,,8,,,7,8,8,,9,9
68,8,,,,,,8,,,,8,,
67,,,,,,7,,,,,,,
66,,8,8,8,,,,,7,7,,8,8
65,,,,,7,,,6,,,7,,
64,7,,,,,,7,,,,,,
63,,7,,7,,6,,,,,,7,7
62,,,7,,6,,,,6,6,,,
61,,,,,,,6,5,,,6,,
60,6,,,6,,,,,,,,6,6
59,,6,6,,,5,,,5,5,,,
58,,,,,5,,,,,,5,,
57,,,,,,,5,4,,,,5,5
56,5,5,5,5,,,,,,4,,,
55,,,,,4,4,,,4,,4,,
54,,,,,,,4,,,,,4,4
53,4,4,,4,,,,3,,3,,,
52,,,4,,,3,,,3,,3,,
51,,,,,3,,3,,,,,,
50,,3,,3,,,,,,,,3,3
49,3,,3,,,,,2,,2,2,,
48,,,,,2,2,,,2,,,,
47,,,,,,,2,,,,,2,2
46,,2,2,2,,,,,,1,1,,
45,2,,,,,,,1,1,,,,
44,,,,,1,1,1,,,,,1,1
43,,1,1,1,,,,,,0,0,,
42,,,,,,,,,0,,,,
41,1,,,,0,,,0,,,,0,0
<= 40,0,0,0,0,,0,0,,,,,,
