T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,23,25,39,14,20,10,12,11,20,14,6,6
89,,,38,13,,,,,,,,
88,22,24,37,,19,,,,,,,
87,,,36,,,,,,19,13,,
86,,23,,12,18,,11,10,,,,
85,21,22,35,,,9,,,18,,5,
84,,,34,,,,,,,12,,5
83,20,21,33,,17,,,,,,,
82,,,32,11,,,10,,17,,,
81,19,20,,,16,8,,9,,11,,
80,,,31,,,,,,16,,,
79,18,19,30,10,,,,,,,,
78,,,29,,15,,9,,15,,,
77,17,18,,,,,,8,,10,4,
76,,,28,,14,7,,,,,,4
75,16,17,27,9,,,,,14,,,
74,,16,26,,,,8,,,9,,
73,15,,25,,13,,,7,13,,,
72,,15,,8,,6,,,,,,
71,14,,24,,12,,,,12,8,,
70,,14,23,,,,7,,,,,
69,,,22,7,,,,6,,,3,3
68,13,13,21,,11,,,,11,,,
67,,,,,,5,6,,,7,,
66,12,12,20,,10,,,,10,,,
65,,,19,6,,,,5,,,,
64,11,11,18,,,,,,,6,,
63,,10,17,,9,4,5,,9,,,
62,10,,,5,,,,,,,2,
61,,9,16,,8,,,,8,5,,2
60,9,,15,,,,,4,,,,
59,,8,14,,,3,4,,7,,,
58,8,,13,4,7,,,,,,,
57,,7,,,,,,,,4,,
56,7,,12,,6,,,3,6,,,
55,,6,11,3,,,3,,,,,
54,6,,10,,,2,,,5,3,1,
53,,5,9,,5,,,,,,,1
52,,4,,2,,,,2,4,,,
51,5,,8,,4,,2,,,2,,
50,,3,7,,,1,,,,,,
49,4,,6,,,,,,3,,,
48,,2,,1,3,,1,1,,1,,
47,3,,5,,,,,,2,,,
46,,1,4,,,,,,,,0,
45,2,,3,0,2,0,,,1,,,0
44,,0,2,,,,0,0,,0,,
43,1,,,,1,,,,,,,
42,,,1,,,,,,0,,,
41,0,,0,,,,,,,,,
<=40,,,,,0,,,,,,,
