T,3AI,3GI_RI,3GI_EL
90+,5,10,4
89, ,9, 
88, ,  , 
87, ,  , 
86, ,  , 
85, ,  , 
84,4,8, 
83, ,  , 
82, ,  , 
81, ,  , 
80, ,  ,3
79, ,7, 
78, ,  , 
77, ,  , 
76, ,  , 
75, ,  , 
74,3,6, 
73, ,  , 
72, ,  , 
71, ,  , 
70, ,  , 
69, ,5,2
68, ,  , 
67, ,  , 
66, ,  , 
65, ,  , 
64,2,  , 
63, ,4, 
62, ,  , 
61, ,  , 
60, ,  , 
59, ,  , 
58, ,3,1
57, ,  , 
56, ,  , 
55, ,  , 
54, ,  , 
53,1,2, 
52, ,  , 
51, ,  , 
50, ,  , 
49, ,  , 
48, ,1, 
47, ,  , 
46, ,  ,0
45, ,  , 
44, ,  , 
43,0,0, 
42, ,  , 
41, ,  , 
<=40, ,  , 
