T,IN,HY,LE,LP,EF,AG,PR,GI,AN,AH,CD,OD
>=90,,46,,,,22,12,23,,28,10,12
89,,45,,,,21,,22,30,,,
88,,44,,,,,11,,,27,,11
87,,43,,,,20,,21,29,,,
86,,42,,,,,,,28,26,,
85,,41,,,,19,,20,,25,9,
84,,40,,,,,10,,27,,,10
83,,,,18,,18,,19,,24,,
82,,39,48,,21,,,,26,,,
82,,,47,,,,,,,,,
81,30,38,46,17,,,,18,25,23,8,
80,29,37,45,,20,17,,,,,,9
79,28,36,44,,,,9,,24,22,,
78,,35,43,16,19,16,,17,,,,
77,27,34,42,,,,,,23,21,,
76,26,33,41,15,18,15,,16,22,20,7,8
75,,32,40,,,,8,,,,,
74,25,31,39,14,17,14,,15,21,19,,
73,24,30,38,,,,,,,,,
73,,,37,,,,,,,,,
72,23,,36,,16,13,,14,20,18,6,7
71,,29,35,13,,,7,,19,,,
70,22,28,34,,15,12,,,,17,,
69,21,27,33,12,,,,13,18,16,,
68,,26,32,,14,,,,,,,6
67,20,25,31,11,,11,6,12,17,15,5,
66,19,24,30,,,,,,16,,,
65,18,23,29,,13,10,,11,,14,,
64,,22,28,10,,,,,15,,,5
64,,,27,,,,,,,,,
63,17,21,26,,12,9,5,10,14,13,4,
62,16,20,25,9,,,,,,,,
61,,,24,,11,8,,9,13,12,,
60,15,19,23,8,,,,,,11,,4
59,14,18,22,,10,7,4,,12,,,
58,,17,21,,,,,8,11,10,3,
57,13,16,20,7,9,6,,,,,,
56,12,15,19,,,,,7,10,9,,3
55,11,14,18,6,8,,3,,,,,
55,,,17,,,,,,,,,
54,,13,16,,,5,,6,9,8,2,
53,10,12,15,5,7,,,,8,,,
52,9,11,14,,,4,,5,,7,,2
51,,,13,,6,,2,,7,6,,
50,8,10,12,4,,3,,4,,,,
49,7,9,11,,5,,,,6,5,1,
48,6,8,10,3,,2,,,5,,,1
47,,7,9,,4,,,3,,4,,
47,,,8,,,,,,,,,
46,5,6,7,2,,1,1,,4,,,
45,4,5,6,,3,,,2,,3,0,
44,,4,5,,,0,,,3,,,0
43,3,3,4,1,2,,,1,2,2,,
42,2,2,3,,,,0,,,1,,
41,,1,2,0,,,,0,1,,,
<=40,1,0,1,,1,,,,0,0,,
<=40,0,,0,,0,,,,,,,
