T,3AI,3GI_RI,3GI_EL
90+,11,  ,6
89, ,18, 
88,10,  , 
87, ,  , 
86, ,17, 
85, ,  , 
84,9,16, 
83, ,  ,5
82, ,  , 
81, ,15, 
80,8,, 
79, ,14, 
78, ,  , 
77, ,  , 
76, ,13, 
75,7,  ,4
74, ,12, 
73, ,  , 
72, ,  , 
71,6,11, 
70, ,  , 
69, ,  , 
68, ,10,3
67, ,  , 
66,5,9, 
65, ,  , 
64, ,  , 
63, ,8, 
62,4,  , 
61, ,7, 
60, ,  ,2
59, ,  , 
58,3,6, 
57, ,  , 
56, ,5, 
55, ,  , 
54, ,  , 
53,2,4, 
52, ,  ,1
51, ,3, 
50, ,  , 
49,1,  , 
48, ,2, 
47, ,  , 
46, ,1, 
45,0,  , 
44, ,  ,0
43, ,0, 
42, ,  , 
41, ,  , 
<=40, ,  , 
