tval,pd,pcdi,dc,ts_min,ts_max
100,,,,,
99,,,,,
98,,,,,
97,,,,,
96,,,,,
95,,,,,
94,,,,,
93,,,,,
92,,60,,180,
91,,59,,177,179
90,,58,,175,176
89,,57,,172,174
88,,56,,170,171
87,,55,60,167,169
86,,,59,165,166
85,60,54,58,163,164
84,59,53,57,160,162
83,58,52,56,158,159
82,57,51,,155,157
81,56,50,55,153,154
80,55,49,54,151,152
79,54,,53,148,150
78,53,48,52,146,147
77,52,47,51,143,145
76,51,46,50,141,142
75,50,45,49,138,140
74,49,44,,136,137
73,,43,48,134,135
72,48,,47,131,133
71,47,42,46,129,130
70,46,41,45,126,128
69,45,40,44,124,125
68,44,39,43,121,123
67,43,38,,119,120
66,42,37,42,117,118
65,41,,41,114,116
64,40,36,40,112,113
63,39,35,39,109,111
62,38,34,38,107,108
61,37,33,37,105,106
60,36,32,36,102,104
59,,,,100,101
58,35,31,35,97,99
57,34,30,34,95,96
56,33,29,33,92,94
55,32,28,32,90,91
54,31,27,31,88,89
53,30,26,30,85,87
52,29,,,83,84
51,28,25,29,80,82
50,27,24,28,78,79
49,26,23,27,76,77
48,25,22,26,73,75
47,24,21,25,71,72
46,23,20,24,68,70
45,,,23,66,67
44,22,19,,63,65
43,21,18,22,61,62
42,20,17,21,59,60
41,19,16,20,56,58
40,18,15,19,54,55
39,17,14,18,51,53
38,16,,17,49,50
37,15,13,,46,48
36,14,12,16,44,45
35,13,,15,42,43
34,12,,14,39,41
33,,,13,37,38
32,,,12,36,
