value,childdomain,parentdomain,totalstress,lifestress
505,,,>=99,
504,,,>=99,
503,,,>=99,
502,,,>=99,
501,,,>=99,
500,,,>=99,
499,,,>=99,
498,,,>=99,
497,,,>=99,
496,,,>=99,
495,,,>=99,
494,,,>=99,
493,,,>=99,
492,,,>=99,
491,,,>=99,
490,,,>=99,
489,,,>=99,
488,,,>=99,
487,,,>=99,
486,,,>=99,
485,,,>=99,
484,,,>=99,
483,,,>=99,
482,,,>=99,
481,,,>=99,
480,,,>=99,
479,,,>=99,
478,,,>=99,
477,,,>=99,
476,,,>=99,
475,,,>=99,
474,,,>=99,
473,,,>=99,
472,,,>=99,
471,,,>=99,
470,,,>=99,
469,,,>=99,
468,,,>=99,
467,,,>=99,
466,,,>=99,
465,,,>=99,
464,,,>=99,
463,,,>=99,
462,,,>=99,
461,,,>=99,
460,,,>=99,
459,,,>=99,
458,,,>=99,
457,,,>=99,
456,,,>=99,
455,,,>=99,
454,,,>=99,
453,,,>=99,
452,,,>=99,
451,,,>=99,
450,,,>=99,
449,,,>=99,
448,,,>=99,
447,,,>=99,
446,,,>=99,
445,,,>=99,
444,,,>=99,
443,,,>=99,
442,,,>=99,
441,,,>=99,
440,,,>=99,
439,,,>=99,
438,,,>=99,
437,,,>=99,
436,,,>=99,
435,,,>=99,
434,,,>=99,
433,,,>=99,
432,,,>=99,
431,,,>=99,
430,,,>=99,
429,,,>=99,
428,,,>=99,
427,,,>=99,
426,,,>=99,
425,,,>=99,
424,,,>=99,
423,,,>=99,
422,,,>=99,
421,,,>=99,
420,,,>=99,
419,,,>=99,
418,,,>=99,
417,,,>=99,
416,,,>=99,
415,,,>=99,
414,,,>=99,
413,,,>=99,
412,,,>=99,
411,,,>=99,
410,,,>=99,
409,,,>=99,
408,,,>=99,
407,,,>=99,
406,,,>=99,
405,,,>=99,
404,,,>=99,
403,,,>=99,
402,,,>=99,
401,,,>=99,
400,,,>=99,
399,,,>=99,
398,,,>=99,
397,,,>=99,
396,,,>=99,
395,,,>=99,
394,,,>=99,
393,,,>=99,
392,,,>=99,
391,,,>=99,
390,,,>=99,
389,,,>=99,
388,,,>=99,
387,,,>=99,
386,,,>=99,
385,,,>=99,
384,,,>=99,
383,,,>=99,
382,,,>=99,
381,,,>=99,
380,,,>=99,
379,,,>=99,
378,,,>=99,
377,,,>=99,
376,,,>=99,
375,,,>=99,
374,,,>=99,
373,,,>=99,
372,,,>=99,
371,,,>=99,
370,,,>=99,
369,,,>=99,
368,,,>=99,
367,,,>=99,
366,,,>=99,
365,,,>=99,
364,,,>=99,
363,,,>=99,
362,,,>=99,
361,,,>=99,
360,,,>=99,
359,,,>=99,
358,,,>=99,
357,,,>=99,
356,,,>=99,
355,,,>=99,
354,,,>=99,
353,,,>=99,
352,,,>=99,
351,,,>=99,
350,,,>=99,
349,,,>=99,
348,,,>=99,
347,,,>=99,
346,,,97,
345,,,97,
344,,,97,
343,,,96,
342,,,96,
341,,,96,
340,,,96,
339,,,96,
338,,,96,
337,,,96,
336,,,96,
335,,,96,
334,,,95,
333,,,95,
332,,,95,
331,,,95,
330,,,95,
329,,,95,
328,,,95,
327,,,95,
326,,,95,
325,,,95,
324,,,94,
323,,,94,
322,,,94,
321,,,92,
320,,,92,
319,,,92,
318,,,92,
317,,,92,
316,,,92,
315,,,92,
314,,,92,
313,,,92,
312,,,92,
311,,,92,
310,,,92,
309,,,92,
308,,,92,
307,,,92,
306,,,92,
305,,,92,
304,,,92,
303,,,92,
302,,,92,
301,,,92,
300,,,92,
299,,,92,
298,,,92,
297,,,92,
296,,,92,
295,,,91,
294,,,91,
293,,,91,
292,,,91,
291,,,91,
290,,,91,
289,,,91,
288,,,91,
287,,,91,
286,,,90,
285,,,90,
284,,,89,
283,,,89,
282,,,89,
281,,,89,
280,,,89,
279,,,89,
278,,,89,
277,,,89,
276,,,89,
275,,,89,
274,,,89,
273,,,89,
272,,,89,
271,,,89,
270,,>=99,89,
269,,>=99,89,
268,,>=99,89,
267,,>=99,87,
266,,>=99,87,
265,,>=99,87,
264,,>=99,87,
263,,>=99,87,
262,,>=99,87,
261,,>=99,87,
260,,>=99,87,
259,,>=99,86,
258,,>=99,86,
257,,>=99,86,
256,,>=99,86,
255,,>=99,86,
254,,>=99,85,
253,,>=99,85,
252,,>=99,85,
251,,>=99,85,
250,,>=99,85,
249,,>=99,85,
248,,>=99,84,
247,,>=99,84,
246,,>=99,82,
245,,>=99,81,
244,,>=99,78,
243,,>=99,77,
242,,>=99,77,
241,,>=99,77,
240,,>=99,77,
239,,>=99,77,
238,,>=99,77,
237,,>=99,77,
236,,>=99,76,
235,>=99,>=99,75,
234,>=99,>=99,74,
233,>=99,>=99,73,
232,>=99,>=99,72,
231,>=99,>=99,72,
230,>=99,>=99,72,
229,>=99,>=99,72,
228,>=99,>=99,72,
227,>=99,>=99,70,
226,>=99,>=99,70,
225,>=99,>=99,70,
224,>=99,>=99,68,
223,>=99,>=99,67,
222,>=99,>=99,67,
221,>=99,>=99,66,
220,>=99,>=99,65,
219,>=99,>=99,63,
218,>=99,>=99,63,
217,>=99,>=99,63,
216,>=99,>=99,62,
215,>=99,>=99,62,
214,>=99,>=99,62,
213,>=99,>=99,62,
212,>=99,>=99,61,
211,>=99,>=99,59,
210,>=99,>=99,59,
209,>=99,>=99,59,
208,>=99,>=99,57,
207,>=99,>=99,56,
206,>=99,>=99,54,
205,>=99,>=99,54,
204,>=99,>=99,53,
203,>=99,>=99,53,
202,>=99,>=99,52,
201,>=99,>=99,51,
200,>=99,>=99,49,
199,>=99,>=99,49,
198,>=99,>=99,49,
197,>=99,>=99,48,
196,>=99,>=99,48,
195,>=99,>=99,48,
194,>=99,>=99,48,
193,>=99,>=99,47,
192,>=99,>=99,44,
191,>=99,>=99,43,
190,>=99,>=99,43,
189,>=99,97,43,
188,>=99,97,39,
187,>=99,97,39,
186,>=99,97,39,
185,>=99,96,38,
184,>=99,96,38,
183,>=99,96,37,
182,>=99,96,37,
181,>=99,95,37,
180,>=99,95,37,
179,>=99,95,33,
178,>=99,94,32,
177,>=99,92,32,
176,>=99,92,30,
175,>=99,91,30,
174,>=99,91,30,
173,>=99,91,28,
172,>=99,91,25,
171,>=99,91,25,
170,>=99,91,25,
169,>=99,91,23,
168,>=99,91,23,
167,>=99,91,23,
166,>=99,91,23,
165,>=99,91,20,
164,>=99,91,19,
163,>=99,91,18,
162,>=99,91,18,
161,>=99,91,15,
160,>=99,91,14,
159,>=99,91,14,
158,98,91,13,
157,98,90,11,
156,98,90,11,
155,98,90,11,
154,95,90,11,
153,94,90,11,
152,94,90,11,
151,94,90,11,
150,94,90,11,
149,94,89,9,
148,94,89,9,
147,94,89,9,
146,94,89,9,
145,93,87,9,
144,93,87,9,
143,91,87,9,
142,91,87,9,
141,91,87,9,
140,91,87,9,
139,91,87,8,
138,90,86,6,
137,89,86,6,
136,89,84,5,
135,89,82,5,
134,89,82,5,
133,89,81,5,
132,89,81,5,
131,89,80,3,
130,89,77,3,
129,89,75,3,
128,89,72,<=1,
127,89,72,<=1,
126,89,72,<=1,
125,88,71,<=1,
124,85,71,<=1,
123,84,68,<=1,
122,84,68,<=1,
121,84,67,<=1,
120,84,65,<=1,
119,84,63,<=1,
118,84,63,<=1,
117,84,62,<=1,
116,84,62,<=1,
115,83,62,<=1,
114,79,59,<=1,
113,78,59,<=1,
112,75,58,<=1,
111,73,54,<=1,
110,73,54,<=1,
109,73,53,<=1,
108,70,51,<=1,
107,69,48,<=1,
106,69,48,<=1,
105,68,46,<=1,
104,66,44,<=1,
103,65,43,<=1,
102,65,42,<=1,
101,65,42,<=1,
100,64,39,,
99,63,38,,
98,63,35,,
97,61,34,,
96,60,30,,
95,59,29,,
94,59,24,,
93,53,24,,
92,53,24,,
91,51,23,,
90,48,20,,
89,45,19,,
88,44,19,,
87,44,15,,
86,44,15,,
85,36,15,,
84,36,15,,
83,36,14,,
82,34,11,,
81,34,11,,
80,33,10,,
79,33,10,,>=99
78,31,10,,>=99
77,31,10,,>=99
76,31,9,,>=99
75,30,6,,>=99
74,29,6,,>=99
73,28,5,,>=99
72,26,4,,>=99
71,25,4,,>=99
70,21,4,,>=99
69,14,4,,>=99
68,13,3,,>=99
67,10,3,,>=99
66,10,<=1,,>=99
65,9,<=1,,>=99
64,9,<=1,,>=99
63,9,<=1,,>=99
62,8,<=1,,>=99
61,6,<=1,,>=99
60,6,<=1,,>=99
59,6,<=1,,>=99
58,6,<=1,,>=99
57,6,<=1,,>=99
56,5,<=1,,>=99
55,3,<=1,,>=99
54,<=1,<=1,,>=99
53,<=1,,,>=99
52,<=1,,,>=99
51,<=1,,,>=99
50,<=1,,,>=99
49,<=1,,,>=99
48,<=1,,,>=99
47,<=1,,,>=99
46,,,,>=99
45,,,,>=99
44,,,,>=99
43,,,,>=99
42,,,,>=99
41,,,,>=99
40,,,,>=99
39,,,,>=99
38,,,,>=99
37,,,,>=99
36,,,,>=99
35,,,,>=99
34,,,,95
33,,,,95
32,,,,94
31,,,,94
30,,,,94
29,,,,93
28,,,,91
27,,,,91
26,,,,91
25,,,,91
24,,,,90
23,,,,90
22,,,,90
21,,,,89
20,,,,88
19,,,,88
18,,,,86
17,,,,86
16,,,,85
15,,,,83
14,,,,76
13,,,,70
12,,,,68
11,,,,66
10,,,,63
9,,,,63
8,,,,56
7,,,,54
6,,,,53
5,,,,48
4,,,,48
3,,,,41
2,,,,40
1,,,,39
0,,,,38
