value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,>=99,,,,,,
64,,,,,,,>=99,,,,,,
63,,,,,,,>=99,,,,,,
62,,,,,,,>=99,,,,,,
61,,,,,,,>=99,,,,,,
60,,,,,,,>=99,,,,,,
59,,,,,,,>=99,,,,,,
58,,,,,,,>=99,,,,,,
57,,,,,,,>=99,,,,,,
56,,,,,,,>=99,,,,,,
55,,>=99,,,,,>=99,,,,,,
54,,>=99,,,,,>=99,,,,,,
53,,>=99,,,,,>=99,,,,,,
52,,>=99,,,,,>=99,,,,,,
51,,>=99,,,,,>=99,,,,,,
50,,>=99,,,,,>=99,,,,,,
49,,>=99,,,,,>=99,,,,,,
48,,>=99,,,,,>=99,,,,,,
47,,>=99,,,,,>=99,,,,,,
46,,>=99,,,,,>=99,,,,,,
45,>=99,>=99,,>=99,,,98,,,,,>=99,
44,>=99,>=99,,>=99,,,98,,,,,>=99,
43,>=99,>=99,,>=99,,,98,,,,,>=99,
42,>=99,>=99,,>=99,,,96,,,,,>=99,
41,>=99,>=99,,>=99,,,95,,,,,>=99,
40,>=99,>=99,,>=99,,,94,,,,,>=99,
39,>=99,>=99,,>=99,,,93,,,,,>=99,
38,>=99,>=99,,>=99,,,93,,,,,>=99,
37,>=99,98,,>=99,,,91,,,,,>=99,
36,>=99,98,,>=99,,,89,,,,,>=99,
35,>=99,96,,>=99,,>=99,88,,>=99,,>=99,>=99,>=99
34,98,96,,>=99,,>=99,86,,>=99,,>=99,>=99,>=99
33,98,96,,>=99,,>=99,85,,>=99,,>=99,>=99,>=99
32,96,91,,98,,>=99,80,,>=99,,>=99,>=99,>=99
31,91,89,,98,,>=99,74,,>=99,,>=99,>=99,>=99
30,91,88,>=99,96,,>=99,70,>=99,>=99,,>=99,>=99,98
29,90,86,>=99,96,,>=99,68,>=99,>=99,,>=99,98,98
28,90,86,>=99,95,,>=99,60,>=99,>=99,,98,96,96
27,89,85,>=99,90,,>=99,54,>=99,>=99,,95,93,95
26,85,81,>=99,89,,>=99,50,>=99,>=99,,93,91,91
25,83,79,>=99,88,>=99,>=99,45,>=99,>=99,>=99,93,89,89
24,76,75,>=99,83,>=99,>=99,39,>=99,>=99,>=99,89,85,81
23,75,70,>=99,79,>=99,>=99,33,>=99,>=99,>=99,86,83,79
22,74,68,>=99,76,>=99,98,21,>=99,>=99,>=99,84,79,75
21,70,58,>=99,71,>=99,96,19,96,96,>=99,76,76,71
20,66,54,96,68,>=99,96,15,96,96,>=99,74,74,69
19,61,46,93,63,>=99,94,13,93,94,>=99,70,66,63
18,56,41,90,59,95,93,8,93,94,>=99,64,64,60
17,45,34,88,53,94,90,4,85,90,96,55,60,55
16,40,26,85,41,93,88,4,80,90,95,48,53,51
15,24,20,81,38,90,81,3,71,89,91,40,36,46
14,13,13,80,30,88,79,3,68,83,86,31,31,40
13,6,6,70,24,83,69,3,63,80,79,25,23,31
12,3,<1,61,9,74,64,,56,71,75,18,19,28
11,<1,<1,55,5,70,51,,46,60,66,15,18,20
10,<1,,44,3,58,41,,41,51,56,10,15,16
9,<1,,38,<1,43,33,,29,43,45,8,10,13
8,,,34,,31,26,,21,34,41,5,,13
7,,,24,,19,9,,20,18,34,4,,9
6,,,11,,8,,,13,,16,,,
5,,,,,4,,,,,10,,,
