value,childdomain,parentdomain,totalstress,lifestress
505,,,99,
504,,,99,
503,,,98,
502,,,98,
501,,,98,
500,,,98,
499,,,98,
498,,,98,
497,,,97,
496,,,97,
495,,,97,
494,,,97,
493,,,97,
492,,,96,
491,,,96,
490,,,96,
489,,,96,
488,,,96,
487,,,96,
486,,,95,
485,,,95,
484,,,95,
483,,,95,
482,,,95,
481,,,94,
480,,,94,
479,,,94,
478,,,94,
477,,,94,
476,,,94,
475,,,93,
474,,,93,
473,,,93,
472,,,93,
471,,,93,
470,,,92,
469,,,92,
468,,,92,
467,,,92,
466,,,92,
465,,,92,
464,,,91,
463,,,91,
462,,,91,
461,,,91,
460,,,91,
459,,,90,
458,,,90,
457,,,90,
456,,,90,
455,,,90,
454,,,90,
453,,,89,
452,,,89,
451,,,89,
450,,,89,
449,,,89,
448,,,88,
447,,,88,
446,,,88,
445,,,88,
444,,,88,
443,,,88,
442,,,87,
441,,,87,
440,,,87,
439,,,87,
438,,,87,
437,,,86,
436,,,86,
435,,,86,
434,,,86,
433,,,86,
432,,,86,
431,,,85,
430,,,85,
429,,,85,
428,,,85,
427,,,85,
426,,,84,
425,,,84,
424,,,84,
423,,,84,
422,,,84,
421,,,84,
420,,,83,
419,,,83,
418,,,83,
417,,,83,
416,,,83,
415,,,82,
414,,,82,
413,,,82,
412,,,82,
411,,,82,
410,,,82,
409,,,81,
408,,,81,
407,,,81,
406,,,81,
405,,,81,
404,,,80,
403,,,80,
402,,,80,
401,,,80,
400,,,80,
399,,,80,
398,,,79,
397,,,79,
396,,,79,
395,,,79,
394,,,79,
393,,,78,
392,,,78,
391,,,78,
390,,,78,
389,,,78,
388,,,78,
387,,,77,
386,,,77,
385,,,77,
384,,,77,
383,,,77,
382,,,76,
381,,,76,
380,,,76,
379,,,76,
378,,,76,
377,,,76,
376,,,75,
375,,,75,
374,,,75,
373,,,75,
372,,,75,
371,,,74,
370,,,74,
369,,,74,
368,,,74,
367,,,74,
366,,,74,
365,,,73,
364,,,73,
363,,,73,
362,,,73,
361,,,73,
360,,,72,
359,,,72,
358,,,72,
357,,,72,
356,,,72,
355,,,72,
354,,,71,
353,,,71,
352,,,71,
351,,,71,
350,,,71,
349,,,70,
348,,,70,
347,,,70,
346,,,70,
345,,,70,
344,,,70,
343,,,69,
342,,,69,
341,,,69,
340,,,69,
339,,,69,
338,,,68,
337,,,68,
336,,,68,
335,,,68,
334,,,68,
333,,,68,
332,,,67,
331,,,67,
330,,,67,
329,,,67,
328,,,67,
327,,,66,
326,,,66,
325,,,66,
324,,,66,
323,,,66,
322,,,66,
321,,,65,
320,,,65,
319,,,65,
318,,,65,
317,,,65,
316,,,64,
315,,,64,
314,,,64,
313,,,64,
312,,,64,
311,,,64,
310,,,63,
309,,,63,
308,,,63,
307,,,63,
306,,,63,
305,,,62,
304,,,62,
303,,,62,
302,,,62,
301,,,62,
300,,,62,
299,,,61,
298,,,61,
297,,,61,
296,,,61,
295,,,61,
294,,,60,
293,,,60,
292,,,60,
291,,,60,
290,,,60,
289,,,60,
288,,,59,
287,,,59,
286,,,59,
285,,,59,
284,,,59,
283,,,58,
282,,,58,
281,,,58,
280,,,58,
279,,,58,
278,,,58,
277,,,57,
276,,,57,
275,,,57,
274,,,57,
273,,,57,
272,,,56,
271,,,56,
270,,97,56,
269,,97,56,
268,,96,56,
267,,96,56,
266,,96,55,
265,,95,55,
264,,95,55,
263,,95,55,
262,,94,55,
261,,94,54,
260,,94,54,
259,,93,54,
258,,93,54,
257,,93,54,
256,,92,54,
255,,92,53,
254,,92,53,
253,,91,53,
252,,91,53,
251,,91,53,
250,,90,52,
249,,90,52,
248,,90,52,
247,,89,52,
246,,89,52,
245,,89,52,
244,,88,51,
243,,88,51,
242,,88,51,
241,,87,51,
240,,87,51,
239,,87,50,
238,,86,50,
237,,86,50,
236,,86,50,
235,95,85,50,
234,95,85,50,
233,95,85,49,
232,94,84,49,
231,94,84,49,
230,93,84,49,
229,93,83,49,
228,93,83,48,
227,92,83,48,
226,92,82,48,
225,92,82,48,
224,91,82,48,
223,91,81,48,
222,91,81,47,
221,90,81,47,
220,90,80,47,
219,90,80,47,
218,89,80,47,
217,89,79,46,
216,88,79,46,
215,88,79,46,
214,88,78,46,
213,87,78,46,
212,87,78,46,
211,87,77,45,
210,86,77,45,
209,86,77,45,
208,86,76,45,
207,85,76,45,
206,85,76,44,
205,84,76,44,
204,84,75,44,
203,84,75,44,
202,83,75,44,
201,83,74,44,
200,83,74,43,
199,82,74,43,
198,82,73,43,
197,82,73,43,
196,81,73,43,
195,81,72,42,
194,81,72,42,
193,80,72,42,
192,80,71,42,
191,79,71,42,
190,79,71,42,
189,79,70,41,
188,78,70,41,
187,78,70,41,
186,78,69,41,
185,77,69,41,
184,77,69,40,
183,77,68,40,
182,76,68,40,
181,76,68,40,
180,75,67,40,
179,75,67,40,
178,75,67,39,
177,74,66,39,
176,74,66,39,
175,74,66,39,
174,73,65,39,
173,73,65,38,
172,73,65,38,
171,72,64,38,
170,72,64,38,
169,72,64,38,
168,71,63,38,
167,71,63,37,
166,70,63,37,
165,70,62,37,
164,70,62,37,
163,69,62,37,
162,69,61,36,
161,69,61,36,
160,68,61,36,
159,68,60,36,
158,68,60,36,
157,67,60,36,
156,67,59,35,
155,66,59,35,
154,66,59,35,
153,66,58,35,
152,65,58,35,
151,65,58,34,
150,65,57,34,
149,64,57,34,
148,64,57,34,
147,64,56,34,
146,63,56,34,
145,63,56,33,
144,62,55,33,
143,62,55,33,
142,62,55,33,
141,61,55,33,
140,61,54,32,
139,61,54,32,
138,60,54,32,
137,60,53,32,
136,60,53,32,
135,59,53,32,
134,59,52,31,
133,59,52,31,
132,58,52,31,
131,58,51,31,
130,57,51,31,
129,57,51,30,
128,57,50,30,
127,56,50,30,
126,56,50,30,
125,56,49,30,
124,55,49,30,
123,55,49,29,
122,55,48,29,
121,54,48,29,
120,54,48,29,
119,53,47,29,
118,53,47,28,
117,53,47,28,
116,52,46,28,
115,52,46,28,
114,52,46,28,
113,51,45,28,
112,51,45,27,
111,51,45,27,
110,50,44,27,
109,50,44,27,
108,50,44,27,
107,49,43,26,
106,49,43,26,
105,48,43,26,
104,48,42,26,
103,48,42,26,
102,47,42,26,
101,47,41,25,
100,47,41,,
99,46,41,,
98,46,40,,
97,46,40,,
96,45,40,,
95,45,39,,
94,44,39,,
93,44,39,,
92,44,38,,
91,43,38,,
90,43,38,,
89,43,37,,
88,42,37,,
87,42,37,,
86,42,36,,
85,41,36,,
84,41,36,,
83,40,35,,
82,40,35,,
81,40,35,,
80,39,34,,
79,39,34,,>=122
78,39,34,,121
77,38,34,,120
76,38,33,,119
75,38,33,,118
74,37,33,,117
73,37,32,,116
72,37,32,,115
71,36,32,,114
70,36,31,,113
69,35,31,,112
68,35,31,,111
67,35,30,,110
66,34,30,,105
65,34,30,,108
64,34,29,,107
63,33,29,,106
62,33,29,,104
61,33,28,,103
60,32,28,,102
59,32,28,,101
58,31,27,,100
57,31,27,,99
56,31,27,,98
55,30,,,97
54,30,26,,96
53,30,,,95
52,29,,,94
51,29,,,93
50,29,,,92
49,28,,,91
48,28,,,90
47,28,,,89
46,,,,88
45,,,,86
44,,,,85
43,,,,84
42,,,,83
41,,,,82
40,,,,81
39,,,,80
38,,,,79
37,,,,78
36,,,,77
35,,,,76
34,,,,75
33,,,,74
32,,,,73
31,,,,72
30,,,,71
29,,,,70
28,,,,69
27,,,,67
26,,,,66
25,,,,65
24,,,,64
23,,,,63
22,,,,62
21,,,,61
20,,,,60
19,,,,59
18,,,,58
17,,,,57
16,,,,56
15,,,,55
14,,,,54
13,,,,53
12,,,,52
11,,,,51
10,,,,50
9,,,,48
8,,,,47
7,,,,46
6,,,,45
5,,,,45
4,,,,43
3,,,,42
2,,,,41
1,,,,40
0,,,,39
