value,distract_hyper,adaptability,reinforcesparent,demandingness,mood,acceptability,coompetence,isolation,attachment,health,rolerestriction,depression,spouse
65,,,,,,,92,,,,,,
64,,,,,,,91,,,,,,
63,,,,,,,90,,,,,,
62,,,,,,,89,,,,,,
61,,,,,,,87,,,,,,
60,,,,,,,86,,,,,,
59,,,,,,,85,,,,,,
58,,,,,,,84,,,,,,
57,,,,,,,83,,,,,,
56,,,,,,,82,,,,,,
55,,96,,,,,80,,,,,,
54,,95,,,,,79,,,,,,
53,,93,,,,,78,,,,,,
52,,92,,,,,77,,,,,,
51,,91,,,,,76,,,,,,
50,,89,,,,,75,,,,,,
49,,88,,,,,74,,,,,,
48,,87,,,,,72,,,,,,
47,,85,,,,,71,,,,,,
46,,84,,,,,70,,,,,,
45,85,82,,90,,,69,,,,,91,
44,84,81,,88,,,68,,,,,89,
43,82,80,,87,,,67,,,,,88,
42,81,78,,85,,,66,,,,,86,
41,79,77,,84,,,64,,,,,85,
40,78,75,,82,,,63,,,,,83,
39,77,74,,81,,,62,,,,,82,
38,75,73,,79,,,61,,,,,80,
37,74,71,,78,,,60,,,,,79,
36,72,70,,76,,,59,,,,,77,
35,71,69,,75,,88,57,,95,,88,76,79
34,69,67,,73,,87,56,,93,,86,74,78
33,68,66,,72,,85,55,,91,,84,73,76
32,66,64,,70,,83,54,,89,,82,72,74
31,65,63,,69,,81,53,,87,,80,70,73
30,63,62,99,67,,80,52,88,85,,78,69,71
29,62,60,96,66,,78,51,86,83,,76,67,70
28,60,59,94,64,,76,49,84,81,,74,66,68
27,59,57,91,63,,75,48,82,79,,71,64,66
26,57,56,89,61,,73,47,80,77,,69,63,65
25,56,55,86,60,89,71,46,77,75,84,67,61,63
24,54,53,83,58,86,69,45,75,73,81,65,60,61
23,53,52,81,57,83,68,44,73,71,79,63,58,60
22,52,51,78,55,81,66,43,71,69,77,61,57,58
21,50,49,76,53,78,64,41,69,67,74,59,55,56
20,49,48,73,52,75,63,40,66,65,72,57,54,55
19,47,46,71,50,72,61,39,64,63,70,55,52,53
18,46,45,68,49,70,59,38,62,61,68,53,51,52
17,44,44,65,47,67,57,37,60,59,65,51,49,50
16,43,42,63,46,64,56,36,58,57,63,49,48,48
15,41,41,60,44,62,54,35,55,55,61,47,47,47
14,40,40,58,43,59,52,33,53,53,58,45,45,45
13,38,38,55,41,56,51,32,51,51,56,43,44,43
12,37,37,53,40,54,49,,49,50,54,41,42,42
11,35,35,50,38,51,47,,47,48,51,39,41,40
10,34,,47,37,48,45,,44,46,49,37,39,39
9,32,,45,35,45,44,,42,44,47,34,38,37
8,,,42,,43,42,,40,42,44,32,,35
7,,,40,,40,40,,38,40,42,30,,34
6,,,37,,37,,,35,,40,,,
5,,,,,35,,,,,38,,,
