raw,dep,anx,oc,pan,sep,soc
0,31,28,32,38,37,25
1,34,31,34,40,40,27
2,36,34,37,42,43,29
3,39,36,40,45,45,31
4,41,39,43,47,48,33
5,44,42,46,49,51,35
6,46,45,49,52,53,37
7,48,47,52,54,56,39
8,51,50,55,56,59,41
9,53,53,58,59,61,42
10,56,55,60,61,64,44
11,58,58,63,63,67,46
12,61,61,66,66,69,48
13,63,64,69,68,72,50
14,66,66,72,70,74,52
15,68,69,75,73,77,54
16,70,72,78,75,80,56
17,73,74,81,77,82,58
18,75,77,84,80,85,60
19,78,,,82,88,62
20,80,,,84,90,64
21,83,,,87,93,66
22,85,,,89,,67
23,87,,,91,,69
24,90,,,94,,71
25,92,,,96,,73
26,95,,,98,,75
27,97,,,101,,77
28,100,,,,,
29,102,,,,,
30,105,,,,,
