raw,ta,tad
0,<35,<34
1,<35,<34
2,<35,<34
3,<35,<34
4,<35,<34
5,<35,<34
6,<35,<34
7,<35,<34
8,<35,<34
9,<35,<34
10,<35,<34
11,<35,<34
12,<35,<34
13,35,34
14,36,34
15,36,35
16,37,35
17,38,36
18,38,36
19,39,37
20,39,37
21,40,38
22,41,38
23,41,39
24,42,39
25,43,40
26,43,40
27,44,41
28,44,41
29,45,42
30,46,42
31,46,43
32,47,43
33,47,44
34,48,44
35,49,45
36,49,46
37,50,46
38,51,47
39,51,47
40,52,48
41,52,48
42,53,49
43,54,49
44,54,50
45,55,50
46,56,51
47,56,51
48,57,52
49,57,52
50,58,53
51,59,53
52,59,54
53,60,54
54,60,55
55,61,55
56,62,56
57,62,56
58,63,57
59,64,57
60,64,58
61,65,58
62,65,59
63,66,59
64,67,60
65,67,61
66,68,61
67,68,62
68,69,62
69,70,63
70,70,63
71,71,64
72,72,64
73,72,65
74,73,65
75,73,66
76,74,66
77,75,67
78,75,67
79,76,68
80,77,68
81,77,69
82,78,69
83,78,70
84,79,70
85,80,71
86,80,71
87,81,72
90,83,73
91,83,74
92,84,74
93,85,75
94,85,76
95,86,76
96,86,77
97,87,77
98,88,78
99,88,78
100,89,79
101,90,79
102,90,80
103,91,80
104,91,81
105,92,81
106,93,82
107,93,82
108,94,83
109,94,83
110,95,84
111,96,84
112,,85
113,,>85
114,,>85
115,,>85
116,,>85
117,,>85
118,,>85
119,,>85
120,,>85
121,,>85
122,,>85
123,,>85
124,,>85
125,,>85
126,,>85
127,,>85
128,,>85
129,,>85
130,,>85
131,,>85
132,,>85
133,,>85
134,,>85
135,,>85
136,,>85
137,,>85
138,,>85
139,,>85
140,,>85
141,,>85
142,,>85
143,,>85
144,,>85
145,,>85
146,,>85
147,,>85
148,,>85
149,,>85
150,,>85
151,,>85
152,,>85
153,,>85
154,,>85
155,,>85
156,,>85
157,,>85
158,,>85
159,,>85
160,,>85
161,,>85
162,,>85
163,,>85
164,,>85
165,,>85
166,,>85
167,,>85
168,,>85
169,,>85
170,,>85
171,,>85
172,,>85
173,,>85
174,,>85
175,,>85
176,,>85
177,,>85
178,,>85
179,,>85
180,,>85
