raw,dep,anx,oc,pan,sep,soc
0,31,29,32,39,40,28
1,33,33,35,42,43,30
2,36,36,38,44,46,33
3,39,39,41,47,49,35
4,42,42,44,50,53,37
5,44,45,47,53,56,39
6,47,49,50,55,59,41
7,50,52,53,58,62,43
8,53,55,56,61,66,45
9,55,58,59,64,69,47
10,58,61,62,67,72,49
11,61,65,65,69,76,51
12,64,68,68,72,79,54
13,66,71,71,75,82,56
14,69,74,75,78,85,58
15,72,77,78,80,89,60
16,75,81,81,83,92,62
17,77,84,84,86,95,64
18,80,87,87,89,99,66
19,83,,,92,102,68
20,86,,,94,105,70
21,88,,,97,108,73
22,91,,,100,,75
23,94,,,103,,77
24,97,,,105,,79
25,99,,,108,,81
26,102,,,111,,83
27,105,,,114,,85
28,108,,,,,
29,110,,,,,
30,113,,,,,
