raw,dep,anx,oc,pan,sep,soc
0,41,36,42,43,36,29
1,44,40,46,47,39,32
2,47,43,50,50,43,34
3,49,47,54,54,46,37
4,52,50,58,58,49,40
5,55,53,61,62,53,42
6,58,57,65,66,56,45
7,60,60,69,70,59,47
8,63,64,73,73,63,50
9,66,67,77,77,66,53
10,69,71,80,81,69,55
11,72,74,84,85,73,58
12,74,78,88,89,76,60
13,77,81,92,93,79,63
14,80,85,96,96,83,65
15,83,88,99,100,86,68
16,86,92,103,104,89,71
17,88,95,107,108,93,73
18,91,99,111,112,96,76
19,94,,,116,99,78
20,97,,,119,103,81
21,100,,,123,106,84
22,102,,,127,,86
23,105,,,131,,89
24,108,,,135,,91
25,111,,,139,,94
26,114,,,142,,96
27,116,,,146,,99
28,119,,,,,
29,122,,,,,
30,125,,,,,
