raw,dep,anx,oc,pan,sep,soc
0,40,37,44,41,43,30
1,42,41,49,47,49,33
2,45,45,55,53,55,36
3,48,49,60,59,62,38
4,50,53,65,65,68,41
5,53,57,70,71,75,44
6,55,61,75,77,81,46
7,58,65,80,83,88,49
8,60,69,85,88,94,52
9,63,73,90,94,101,55
10,66,77,95,100,107,57
11,68,81,100,106,114,60
12,71,85,106,112,120,63
13,73,89,111,118,126,65
14,76,93,116,124,133,68
15,79,97,121,130,139,71
16,81,101,126,136,146,74
17,84,105,131,142,152,76
18,86,109,136,148,159,79
19,89,,,154,165,82
20,91,,,159,172,84
21,94,,,165,178,87
22,97,,,171,,90
23,99,,,177,,92
24,102,,,183,,95
25,104,,,189,,98
26,107,,,195,,102
27,109,,,201,,103
28,112,,,,,
29,115,,,,,
30,117,,,,,
