raw,ta,tad
0,<49,<46
1,<49,<46
2,<49,<46
3,<49,<46
4,<49,<46
5,<49,<46
6,<49,<46
7,<49,<46
8,<49,<46
9,<49,<46
10,<49,<46
11,<49,<46
12,<49,<46
13,49,46
14,50,47
15,51,47
16,52,48
17,53,49
18,54,50
19,55,51
20,56,51
21,57,52
22,58,53
23,59,54
24,60,55
25,61,55
26,62,56
27,63,57
28,64,58
29,65,58
30,66,59
31,67,60
32,68,61
33,69,62
34,71,62
35,72,63
36,73,64
37,74,65
38,75,66
39,76,66
40,77,67
41,78,68
42,79,69
43,80,69
44,81,70
45,82,71
46,83,72
47,84,73
48,85,73
49,86,74
50,87,75
51,88,76
52,89,77
53,90,77
54,91,78
55,92,79
56,93,80
57,94,81
58,96,81
59,97,82
60,98,83
61,99,84
62,100,84
63,101,85
64,102,86
65,103,87
66,104,88
67,105,88
68,106,89
69,107,90
70,108,91
71,109,92
72,110,92
73,111,93
74,112,94
75,113,95
76,114,95
77,115,96
78,116,97
79,117,98
80,118,99
81,119,99
82,121,100
83,122,101
84,123,102
85,124,103
86,125,103
87,126,104
88,127,105
89,128,106
90,129,107
91,130,107
92,131,108
93,132,109
94,133,110
95,134,110
96,135,111
97,136,112
98,137,113
99,138,114
100,139,114
101,140,115
102,141,116
103,142,117
104,143,118
105,144,118
106,146,119
107,147,120
108,148,121
109,149,121
110,150,122
111,151,123
112,,124
113,,>124
114,,>124
115,,>124
116,,>124
117,,>124
118,,>124
119,,>124
120,,>124
121,,>124
122,,>124
123,,>124
124,,>124
125,,>124
126,,>124
127,,>124
128,,>124
129,,>124
130,,>124
131,,>124
132,,>124
133,,>124
134,,>124
135,,>124
136,,>124
137,,>124
138,,>124
139,,>124
140,,>124
141,,>124
142,,>124
143,,>124
144,,>124
145,,>124
146,,>124
147,,>124
148,,>124
149,,>124
150,,>124
151,,>124
152,,>124
153,,>124
154,,>124
155,,>124
156,,>124
157,,>124
158,,>124
159,,>124
160,,>124
161,,>124
162,,>124
163,,>124
164,,>124
165,,>124
166,,>124
167,,>124
168,,>124
169,,>124
170,,>124
171,,>124
172,,>124
173,,>124
174,,>124
175,,>124
176,,>124
177,,>124
178,,>124
179,,>124
180,,>124
