raw,som,oc,is,dep,anx,hos,phob,par,psy,gsi,psdi
0.02,35,37,39,34,37,40,44,41,44,30,
0.06,39,41,43,41,41,45,52,47,51,37,
0.10,42,44,46,43,44,45,52,47,53,41,
0.14,44,46,49,45,46,45,54,47,55,44,
0.18,46,48,49,47,49,49,56,49,57,47,
0.22,48,49,50,48,51,52,56,52,59,49,
0.26,49,49,52,49,51,52,56,52,59,50,
0.30,50,50,52,50,52,52,58,52,60,52,
0.34,51,51,53,51,53,54,60,54,61,53,
0.38,52,52,55,52,54,56,60,56,62,55,
0.42,53,53,55,53,56,56,61,56,63,56,
0.46,54,53,56,54,56,56,62,56,63,56,
0.50,55,54,57,55,57,57,62,57,64,58,
0.54,56,55,58,56,58,59,62,59,65,59,
0.58,57,56,59,57,58,59,63,59,65,60,
0.62,57,57,59,57,59,59,64,59,65,60,
0.66,58,57,60,58,59,60,64,60,65,61,
0.70,59,58,61,58,59,61,65,60,66,61,
0.74,60,59,61,59,60,61,65,60,67,62,
0.78,60,60,62,60,61,61,65,60,67,63,
0.83,61,61,62,60,62,63,65,62,68,63,
0.87,61,61,62,60,62,64,66,63,68,64,
0.91,61,61,63,61,63,64,67,63,69,64,
0.95,62,62,63,61,64,64,67,63,71,65,
0.99,62,62,64,62,65,65,67,63,71,65,37
1.03,63,63,65,62,66,67,68,64,72,65,42
1.07,63,63,65,62,66,67,68,64,72,66,44
1.11,63,64,66,63,66,67,68,64,72,67,46
1.15,64,64,66,63,66,68,68,65,73,67,47
1.19,65,64,66,64,67,68,69,66,73,68,49
1.23,65,65,67,64,67,68,69,66,73,68,50
1.27,65,65,68,65,67,68,69,66,73,69,50
1.31,65,65,68,65,67,68,70,66,74,69,52
1.35,65,65,68,65,68,69,70,67,76,69,53
1.39,65,66,68,66,68,70,70,68,77,69,53
1.43,66,66,69,66,68,70,70,68,79,69,54
1.47,66,66,70,66,68,70,70,68,79,70,55
1.51,66,66,70,66,68,70,70,69,79,70,56
1.55,67,66,70,67,69,70,70,70,79,71,56
1.59,67,67,70,67,70,70,70,70,81,71,57
1.63,67,68,70,67,71,70,70,70,,72,58
1.67,68,68,71,68,71,71,70,70,,72,58
1.71,68,68,71,68,71,71,71,71,,72,59
1.75,68,70,71,69,71,71,72,71,,73,60
1.79,69,70,71,69,72,71,72,71,,73,61
1.83,69,70,71,69,72,72,72,71,,73,62
1.87,70,70,71,69,72,72,73,72,,74,62
1.91,70,71,71,69,72,72,74,72,,76,63
1.95,71,71,71,69,72,72,74,72,,76,63
1.99,71,71,72,69,72,73,74,72,,77,64
2.03,71,71,72,69,72,73,75,72,,79,65
2.07,72,71,72,69,72,73,75,72,,79,66
2.11,73,72,72,70,72,73,75,72,,79,66
2.15,74,72,72,70,72,73,76,72,,79,66
2.19,76,72,72,70,73,74,76,72,,79,67
2.23,77,73,72,70,74,74,76,72,,79,68
2.27,79,73,72,71,74,74,76,72,,79,68
2.31,79,73,73,71,74,74,76,74,,81,68
2.35,79,74,75,71,75,74,76,76,,,68
2.39,79,74,75,71,76,74,76,76,,,69
2.44,79,75,76,72,76,74,77,76,,,69
2.48,79,75,76,72,76,74,77,76,,,69
2.52,81,75,79,72,77,75,79,77,,,70
2.56,,75,79,72,79,76,81,79,,,71
2.60,,76,79,73,79,76,,79,,,72
2.64,,76,79,74,79,76,,79,,,73
2.68,,76,81,74,79,77,,79,,,73
2.72,,79,,75,79,79,,79,,,73
2.76,,79,,75,79,79,,79,,,73
2.80,,79,,75,79,79,,79,,,73
2.84,,79,,75,79,79,,81,,,74
2.88,,80,,75,79,79,,,,,77
2.92,,80,,75,81,79,,,,,78
2.96,,80,,75,,79,,,,,78
3.00,,80,,76,,80,,,,,78
3.04,,81,,80,,80,,,,,80
3.08,,,,81,,81,,,,,80
3.12,,,,,,,,,,,81
3.16,,,,,,,,,,,
3.20,,,,,,,,,,,
,,,,,,,,,,,
