raw,pst
0,24
1,24
2,30
3,33
4,36
5,38
6,39
7,40
8,41
9,43
10,44
11,45
12,46
13,46
14,47
15,48
16,49
17,50
18,50
19,51
20,51
21,52
22,52
23,53
24,53
25,54
26,55
27,55
28,56
29,56
30,57
31,57
32,57
33,58
34,58
35,59
36,59
37,59
38,60
39,60
40,61
41,61
42,61
43,61
44,62
45,63
46,63
47,64
48,64
49,64
50,65
51,65
52,65
53,65
54,66
55,66
56,67
57,67
58,67
59,68
60,68
61,69
62,69
63,70
64,70
65,71
66,71
67,71
68,72
69,72
70,72
71,73
72,73
73,74
74,74
75,74
76,75
77,75
78,75
79,76
80,76
81,76
82,77
83,77
84,78
85,78
86,78
87,79
88,79
89,79
90,81
