raw,som,oc,is,dep,anx,hos,phob,par,psy,gsi,psdi
0.02,37,39,41,38,40,41,47,41,44,34,
0.06,41,43,47,45,45,47,57,47,51,41,
0.1,45,46,49,47,48,47,57,47,53,45,
0.14,47,48,51,49,50,47,59,47,56,48,
0.18,49,50,51,51,52,50,62,49,57,50,
0.22,52,51,53,52,55,53,62,51,59,52,
0.26,53,51,54,53,55,53,62,51,59,53,
0.3,54,52,54,54,56,53,63,51,60,55,
0.34,55,53,56,56,58,55,65,53,61,56,
0.38,56,54,57,57,59,57,65,54,62,58,
0.42,57,55,57,58,61,57,66,54,63,59,
0.46,58,55,58,59,61,57,68,54,63,60,
0.5,59,56,60,59,62,59,68,56,64,61,
0.54,60,57,61,60,63,60,68,57,66,62,
0.58,60,58,61,61,64,60,69,57,66,63,
0.62,61,59,61,61,64,60,70,57,67,64,
0.66,62,59,62,62,64,61,70,59,67,64,
0.7,63,60,64,63,65,63,71,60,68,65,
0.74,64,61,64,63,66,63,72,60,68,66,
0.78,64,61,64,64,66,63,72,60,69,67,
0.83,65,62,66,64,67,63,72,62,70,68,
0.87,65,62,66,65,67,64,72,63,70,69,
0.91,66,63,67,67,68,64,73,63,71,71,
0.95,66,63,68,68,68,64,73,63,72,72,
0.99,67,64,68,69,69,65,74,64,74,72,40
1.03,68,65,69,69,70,66,74,66,75,72,45
1.07,68,65,69,70,70,66,74,66,75,73,46
1.11,68,66,69,71,71,66,74,66,75,74,47
1.15,69,67,70,71,72,67,74,66,75,74,49
1.19,69,67,70,71,73,69,74,67,76,74,50
1.23,69,68,70,71,75,69,74,67,76,74,52
1.27,69,68,70,71,75,69,75,67,76,76,52
1.31,70,69,70,71,76,69,76,67,76,81,53
1.35,71,69,71,72,79,70,76,69,76,,54
1.39,71,70,71,72,79,70,76,70,79,,55
1.43,72,70,73,72,79,70,77,70,80,,56
1.47,72,70,76,72,79,70,79,70,80,,57
1.51,73,71,76,73,79,72,79,71,80,,58
1.55,75,71,77,74,79,73,79,72,80,,59
1.59,76,72,79,74,81,73,79,72,80,,60
1.63,76,72,79,75,,73,79,72,80,,61
1.67,76,72,81,76,,73,79,74,80,,61
1.71,76,74,,77,,73,81,75,80,,62
1.75,77,75,,81,,73,,75,80,,62
1.79,79,76,,,,73,,75,80,,63
1.83,79,76,,,,74,,76,80,,63
1.87,79,76,,,,75,,76,80,,64
1.91,79,77,,,,75,,76,80,,64
1.95,79,79,,,,75,,76,80,,64
1.99,79,81,,,,76,,76,80,,65
2.03,79,,,,,76,,76,80,,66
2.07,81,,,,,76,,76,80,,66
2.11,,,,,,76,,76,80,,67
2.15,,,,,,79,,77,80,,67
2.19,,,,,,80,,79,80,,68
2.23,,,,,,81,,79,80,,68
2.27,,,,,,,,79,80,,69
2.31,,,,,,,,79,80,,70
2.34,,,,,,,,79,81,,71
2.38,,,,,,,,79,,,71
2.42,,,,,,,,79,,,72
2.46,,,,,,,,80,,,72
2.5,,,,,,,,80,,,73
2.54,,,,,,,,81,,,73
2.58,,,,,,,,,,,74
2.62,,,,,,,,,,,74
2.66,,,,,,,,,,,75
2.7,,,,,,,,,,,75
2.74,,,,,,,,,,,76
2.78,,,,,,,,,,,76
2.82,,,,,,,,,,,77
2.86,,,,,,,,,,,77
2.9,,,,,,,,,,,78
2.94,,,,,,,,,,,78
2.98,,,,,,,,,,,79
3.02,,,,,,,,,,,79
3.06,,,,,,,,,,,80
3.1,,,,,,,,,,,80
3.14,,,,,,,,,,,81
3.18,,,,,,,,,,,
