raw,total,awr,cog,com,mot,rrb,sci
0,37,32,39,38,38,41,36
1,37,35,40,39,40,43,36
2,37,38,42,40,42,45,37
3,38,42,44,41,44,46,37
4,38,45,46,43,46,48,38
5,39,48,48,44,48,50,38
6,39,51,50,45,50,52,39
7,39,54,52,46,52,53,39
8,40,57,53,47,54,55,40
9,40,60,55,48,56,57,40
10,41,64,57,49,58,59,41
11,41,67,59,50,60,61,41
12,41,70,61,51,62,62,42
13,42,73,63,52,64,64,42
14,42,76,65,54,67,66,43
15,43,79,66,55,69,68,43
16,43,82,68,56,71,69,44
17,43,86,70,57,73,71,44
18,44,89,72,58,75,73,45
19,44,92,74,59,77,75,45
20,45,95,76,60,79,76,46
21,45,98,78,61,81,78,46
22,45,101,79,62,83,80,47
23,46,104,81,63,85,82,47
24,46,108,83,65,87,83,48
25,47,,85,66,89,85,48
26,47,,87,67,91,87,49
27,47,,89,68,93,89,49
28,48,,91,69,95,91,50
29,48,,92,70,97,92,50
30,49,,94,71,99,94,51
31,49,,96,72,101,96,51
32,49,,98,73,103,98,52
33,50,,100,74,106,99,52
34,50,,102,75,,101,53
35,51,,104,77,,103,53
36,51,,105,78,,105,54
37,51,,,79,,,54
38,52,,,80,,,55
39,52,,,81,,,55
40,53,,,82,,,56
41,53,,,83,,,56
42,53,,,84,,,57
43,54,,,85,,,57
44,54,,,86,,,58
45,55,,,88,,,58
46,55,,,89,,,59
47,55,,,90,,,59
48,56,,,91,,,60
49,56,,,92,,,60
50,57,,,93,,,61
51,57,,,94,,,61
52,57,,,95,,,62
53,58,,,96,,,62
54,58,,,97,,,63
55,58,,,99,,,63
56,59,,,100,,,64
57,59,,,101,,,64
58,60,,,102,,,65
59,60,,,103,,,65
60,60,,,104,,,66
61,61,,,105,,,66
62,61,,,106,,,67
63,62,,,107,,,67
64,62,,,108,,,68
65,62,,,110,,,68
66,63,,,111,,,69
67,63,,,,,,69
68,64,,,,,,70
69,64,,,,,,70
70,64,,,,,,71
71,65,,,,,,71
72,65,,,,,,71
73,66,,,,,,72
74,66,,,,,,72
75,66,,,,,,73
76,67,,,,,,73
77,67,,,,,,74
78,68,,,,,,74
79,68,,,,,,75
80,68,,,,,,75
81,69,,,,,,76
82,69,,,,,,76
83,70,,,,,,77
84,70,,,,,,77
85,70,,,,,,78
86,71,,,,,,78
87,71,,,,,,79
88,72,,,,,,79
89,72,,,,,,80
90,72,,,,,,80
91,73,,,,,,81
92,73,,,,,,81
93,74,,,,,,82
94,74,,,,,,82
95,74,,,,,,83
96,75,,,,,,83
97,75,,,,,,84
98,76,,,,,,84
99,76,,,,,,85
100,76,,,,,,85
101,77,,,,,,86
102,77,,,,,,86
103,78,,,,,,87
104,78,,,,,,87
105,78,,,,,,88
106,79,,,,,,88
107,79,,,,,,89
108,80,,,,,,89
109,80,,,,,,90
110,80,,,,,,90
111,81,,,,,,91
112,81,,,,,,91
113,82,,,,,,92
114,82,,,,,,92
115,82,,,,,,93
116,83,,,,,,93
117,83,,,,,,94
118,83,,,,,,94
119,84,,,,,,95
120,84,,,,,,95
121,85,,,,,,96
122,85,,,,,,96
123,85,,,,,,97
124,86,,,,,,97
125,86,,,,,,98
126,87,,,,,,98
127,87,,,,,,99
128,87,,,,,,99
129,88,,,,,,100
130,88,,,,,,100
131,89,,,,,,101
132,89,,,,,,101
133,89,,,,,,102
134,90,,,,,,102
135,90,,,,,,103
136,91,,,,,,103
137,91,,,,,,104
138,91,,,,,,104
139,92,,,,,,105
140,92,,,,,,105
141,93,,,,,,106
142,93,,,,,,106
143,93,,,,,,107
144,94,,,,,,107
145,94,,,,,,108
146,95,,,,,,108
147,95,,,,,,109
148,95,,,,,,109
149,96,,,,,,110
150,96,,,,,,110
151,97,,,,,,111
152,97,,,,,,111
153,97,,,,,,112
154,98,,,,,,112
155,98,,,,,,113
156,99,,,,,,113
157,99,,,,,,113
158,99,,,,,,114
159,100,,,,,,114
160,100,,,,,,
161,101,,,,,,
162,101,,,,,,
163,101,,,,,,
164,102,,,,,,
165,102,,,,,,
166,103,,,,,,
167,103,,,,,,
168,103,,,,,,
169,104,,,,,,
170,104,,,,,,
171,105,,,,,,
172,105,,,,,,
173,105,,,,,,
174,106,,,,,,
175,106,,,,,,
176,107,,,,,,
177,107,,,,,,
178,107,,,,,,
179,108,,,,,,
180,108,,,,,,
181,108,,,,,,
182,109,,,,,,
183,109,,,,,,
184,110,,,,,,
185,110,,,,,,
186,110,,,,,,
187,111,,,,,,
188,111,,,,,,
189,112,,,,,,
190,112,,,,,,
191,112,,,,,,
192,113,,,,,,
193,113,,,,,,
194,114,,,,,,
195,114,,,,,,
