raw,state,state_perc,trait,trait_perc
80,90,100,96,100
79,89,100,95,100
78,88,100,94,100
77,87,100,93,100
76,86,100,92,100
75,85,100,91,100
74,84,100,90,100
73,84,100,89,100
72,83,100,88,100
71,82,100,87,100
70,81,100,86,100
69,80,100,84,100
68,79,100,83,100
67,78,100,82,100
66,77,99,81,100
65,76,99,80,100
64,75,99,79,100
63,74,98,78,100
62,74,97,77,100
61,73,95,76,99
60,72,95,75,98
59,71,95,74,97
58,70,95,73,96
57,69,94,72,95
56,68,94,71,95
55,67,93,70,95
54,66,92,69,94
53,65,91,68,93
52,64,91,67,93
51,64,89,66,93
50,63,89,65,92
49,62,87,63,92
48,61,85,62,90
47,60,84,61,89
46,59,82,60,86
45,58,81,59,86
44,57,79,58,83
43,56,77,57,80
42,55,76,56,76
41,54,73,55,72
40,53,71,54,69
39,53,71,53,66
38,52,68,52,65
37,51,62,51,61
36,50,59,50,59
35,49,56,49,54
34,48,62,48,50
33,47,48,47,47
32,46,44,46,42
31,45,41,45,35
30,44,40,44,29
29,43,34,42,25
28,43,30,41,22
27,42,21,40,18
26,41,17,39,16
25,40,13,38,12
24,39,10,37,9
23,38,9,36,7
22,37,6,35,3
21,36,3,34,3
20,35,2,33,0
