raw,state,state_perc,trait,trait_perc
80,93,100,96,100
79,92,100,95,100
78,91,100,93,100
77,90,100,92,100
76,89,100,91,100
75,88,100,90,100
74,87,100,89,100
73,86,100,88,100
72,85,100,87,100
71,84,100,86,100
70,83,100,85,100
69,82,100,84,100
68,81,100,83,100
67,80,100,82,100
66,79,100,81,100
65,78,100,80,100
64,77,100,79,100
63,76,100,78,100
62,75,99,77,100
61,74,98,76,99
60,73,98,75,99
59,72,98,74,98
58,71,97,73,98
57,70,96,72,98
56,69,95,71,97
55,68,94,70,96
54,67,94,69,96
53,66,93,68,95
52,65,92,67,94
51,64,91,66,94
50,63,90,65,92
49,62,88,64,90
48,61,86,63,88
47,60,85,62,87
46,59,82,61,85
45,58,80,60,83
44,57,78,59,81
43,56,76,58,78
42,55,73,57,76
41,54,70,56,74
40,53,66,55,71
39,52,64,54,69
38,51,61,53,66
37,50,58,51,63
36,49,55,50,59
35,48,50,49,57
34,48,46,48,52
33,47,44,47,48
32,46,39,46,43
31,45,36,45,38
30,44,31,44,33
29,43,28,43,30
28,42,25,42,27
27,41,19,41,24
26,40,16,40,21
25,39,14,39,15
24,38,12,38,12
23,37,9,37,11
22,36,8,36,7
21,35,6,35,4
20,34,4,34,3
