Deviation score,T
-50,8
-49,9
-48,10
-47,11
-46,12
-45,13
-44,13
-43,14
-42,15
-41,16
-40,17
-39,18
-38,18
-37,19
-36,20
-35,21
-34,22
-33,23
-32,23
-31,24
-30,25
-29,26
-28,27
-27,28
-26,28
-25,29
-24,30
-23,31
-22,32
-21,33
-20,33
-19,34
-18,35
-17,36
-16,37
-15,38
-14,38
-13,39
-12,40
-11,41
-10,42
-9,43
-8,43
-7,44
-6,45
-5,46
-4,47
-3,48
-2,48
-1,49
0,50
1,51
2,52
3,52
4,53
5,54
6,55
7,56
8,57
9,57
10,58
11,59
12,60
13,61
14,62
15,62
16,63
17,64
18,65
19,66
20,67
21,67
22,68
23,69
24,70
25,71
26,72
27,72
28,73
29,74
30,75
31,76
32,77
33,77
34,78
35,79
36,80
37,81
38,82
39,82
40,83
41,84
42,85
43,86
44,87
45,87
46,88
47,89
48,90
49,91
50,92
