Deviation score,T
-50,3
-49,3
-48,3
-47,4
-46,5
-45,6
-44,7
-43,8
-42,9
-41,10
-40,11
-39,12
-38,13
-37,14
-36,15
-35,16
-34,17
-33,18
-32,19
-31,20
-30,21
-29,22
-28,23
-27,24
-26,25
-25,26
-24,27
-23,28
-22,29
-21,30
-20,31
-19,32
-18,33
-17,34
-16,34
-15,35
-14,36
-13,37
-12,38
-11,39
-10,40
-9,41
-8,42
-7,43
-6,44
-5,45
-4,46
-3,47
-2,48
-1,49
0,50
1,51
2,52
3,53
4,54
5,55
6,56
7,57
8,58
9,59
10,60
11,61
12,62
13,63
14,64
15,65
16,66
17,66
18,67
19,68
20,69
21,70
22,71
23,72
24,73
25,74
26,75
27,76
28,77
29,78
30,79
31,80
32,81
33,82
34,83
35,84
36,85
37,86
38,87
39,88
40,89
41,90
42,91
43,92
44,93
45,94
46,95
47,96
48,97
49,97
50,98
