Index,Total Recall,Delayed Recall,Retention,Recogntion,T-Score
1,,,>=150,,>=80
2,,,149,,79
3,,,148,,79
4,,,147,,78
5,,,146,,78
6,,,145,,77
7,,,144,,77
8,,,143,,76
9,,,142,,76
10,,,141,,75
11,,,140,,75
12,,,139,,75
13,36,,138,,74
14,,,137,,74
15,35,,136,,73
16,,,135,,73
17,,,134,,72
18,,,133,,72
19,34,,132,,71
20,,,131,,71
21,,,130,,70
22,,,129,,70
23,33,,128,,69
24,,,127,,69
25,,,126,,68
26,,,125,,68
27,32,,124,,67
28,,,123,,67
29,,,122,,67
30,,,121,,66
31,,,120,,66
32,31,,119,,65
33,,,118,,65
34,,12,117,,64
35,,,116,,64
36,30,,115,,63
37,,,114,,63
38,,,113,,62
39,,,112,,62
40,29,,111,,61
41,,,110,,61
42,,11,109,12,60
43,,,108,,60
44,28,,107,,59
45,,,106,,59
46,,,105,,59
47,,,104,,58
48,,,103,,58
49,27,,102,,57
50,,,101,,57
51,,10,100,,56
52,,,99,,56
53,26,,98,,55
54,,,97,,55
55,25,,96,11,54
56,,,95,,54
57,,9,94,,53
58,,,93,,53
59,24,,92,,52
60,,,91,,52
61,,,90,,51
62,,,89,,51
63,,,88,,51
64,23,,87,,50
65,,,86,,50
66,,8,85,,49
67,,,84,,49
68,22,,83,10,48
69,,,82,,48
70,,,81,,47
71,,,80,,47
72,21,,79,,46
73,,,78,,46
74,,7,77,,45
75,,,76,,45
76,20,,75,,44
77,,,74,,44
78,,,73,9,43
79,,,72,,43
80,,,71,,43
81,19,6,70,,42
82,,,69,,42
83,,,68,,41
84,,,67,,41
85,18,,66,,40
86,,,65,,40
87,,,64,,39
88,,,63,,39
89,17,5,62,,38
90,,,61,,38
91,,,60,8,37
92,,,59,,37
93,16,,58,,36
94,,,57,,36
95,,,56,,35
96,,,55,,35
97,,,54,,35
98,15,4,53,,34
99,,,52,,34
100,14,,51,,33
101,,,50,,33
102,,,49,7,32
103,,,48,,32
104,13,3,47,,31
105,,,46,,31
106,,,45,,30
107,,,44,,30
108,12,,43,,29
109,,,42,,29
110,,,41,,28
111,,,40,,28
112,11,2,39,,27
113,,,38,,27
114,,,37,,27
115,,,36,6,26
116,,,35,,26
117,10,,34,,25
118,,,33,,25
119,,,32,,24
120,,,31,,24
121,9,1,30,,23
122,,,29,,23
123,,,28,,22
124,,,27,,22
125,8,,26,5,21
126,,,25,,21
127,7,0,24,4,<=20
128,6,,23,3,<=20
129,5,,22,2,<=20
130,4,,21,1,<=20
131,3,,20,0,<=20
132,2,,19,,<=20
133,1,,18,,<=20
134,0,,17,,<=20
135,,,16,,<=20
136,,,15,,<=20
137,,,14,,<=20
138,,,13,,<=20
139,,,12,,<=20
140,,,11,,<=20
141,,,10,,<=20
142,,,9,,<=20
143,,,8,,<=20
144,,,7,,<=20
145,,,6,,<=20
146,,,5,,<=20
147,,,4,,<=20
148,,,3,,<=20
149,,,2,,<=20
150,,,1,,<=20
151,,,0,,<=20
