Index,Total Recall,Delayed Recall,Retention,Recogntion,T-Score
1,,,>=144,,>=80
2,,,143,,79
3,,,142,,79
4,,,141,,78
5,,,140,,78
6,,,139,,77
7,,,138,,77
8,,,137,,76
9,,,136,,76
10,,,135,,76
11,36,,134,,75
12,,,133,,75
13,35,,132,,74
14,,,131,,74
15,,,130,,73
16,,,129,,73
17,34,,128,,72
18,,,127,,72
19,,,126,,71
20,,,125,,71
21,33,,124,,70
22,,,123,,70
23,,,122,,69
24,,,121,,69
25,32,,120,,68
26,,,119,,68
27,,,118,,67
28,,,117,,67
29,31,,116,,66
30,,,115,,66
31,,,114,,66
32,,12,113,,65
33,,,112,,65
34,30,,111,,64
35,,,110,,64
36,,,109,,63
37,,,108,,63
38,29,11,107,,62
39,,,106,,62
40,,,105,12,61
41,,,104,,61
42,28,,103,,60
43,,,102,,60
44,,,101,,59
45,,,100,,59
46,27,10,99,,58
47,,,98,,58
48,,,97,,57
49,,,96,,57
50,26,,95,,56
51,,,94,,56
52,,9,93,,56
53,,,92,,55
54,,,91,,55
55,25,,90,11,54
56,,,89,,54
57,,,88,,53
58,,,87,,53
59,24,,86,,52
60,,,85,,52
61,,8,84,,51
62,,,83,,51
63,23,,82,,50
64,,,81,,50
65,22,,80,,49
66,,,79,,49
67,,7,78,10,48
68,,,77,,48
69,21,,76,,47
70,,,75,,47
71,,,74,,46
72,,,73,,46
73,,,72,,46
74,20,,71,,45
75,,,70,,45
76,,6,69,,44
77,,,68,,44
78,19,,67,,43
79,,,66,,43
80,,,65,,42
81,,,64,,42
82,18,,63,9,41
83,,,62,,41
84,,5,61,,40
85,,,60,,40
86,17,,59,,39
87,,,58,,39
88,,,57,,38
89,,,56,,38
90,16,4,55,,37
91,,,54,,37
92,,,53,,36
93,,,52,,36
94,,,51,,36
95,15,,50,,35
96,,,49,,35
97,,,48,8,34
98,,,47,,34
99,14,3,46,,33
100,,,45,,33
101,,,44,,32
102,,,43,,32
103,13,,42,,31
104,,,41,,31
105,,2,40,,30
106,,,39,,30
107,12,,38,,29
108,,,37,,29
109,,,36,,28
110,,,35,,28
111,11,,34,7,27
112,,,33,,27
113,,1,32,,26
114,,,31,,26
115,,,30,,26
116,10,,29,,25
117,,,28,,25
118,,,27,,24
119,,,26,,24
120,9,0,25,,23
121,,,24,,23
122,8,,23,,22
123,,,22,,22
124,,,21,,21
125,,,20,,21
126,7,,19,6,<=20
127,6,,18,5,<=20
128,5,,17,4,<=20
129,4,,16,3,<=20
130,3,,15,2,<=20
131,2,,14,1,<=20
132,1,,13,0,<=20
133,0,,12,,<=20
134,,,11,,<=20
135,,,10,,<=20
136,,,9,,<=20
137,,,8,,<=20
138,,,7,,<=20
139,,,6,,<=20
140,,,5,,<=20
141,,,4,,<=20
142,,,3,,<=20
143,,,2,,<=20
144,,,1,,<=20
145,,,0,,<=20
,,,,,
,,,,,
,,,,,
