Deviation score,T
-50,
-49,
-48,
-47,
-46,
-45,
-44,
-43,
-42,
-41,
-40,
-39,
-38,
-37,
-36,
-35,
-34,
-33,
-32,
-31,
-30,
-29,21
-28,22
-27,23
-26,24
-25,25
-24,26
-23,27
-22,28
-21,29
-20,30
-19,31
-18,32
-17,33
-16,34
-15,35
-14,36
-13,37
-12,38
-11,39
-10,40
-9,41
-8,42
-7,43
-6,44
-5,45
-4,46
-3,47
-2,48
-1,49
0,50
1,51
2,52
3,53
4,54
5,55
6,56
7,57
8,58
9,59
10,60
11,61
12,62
13,63
14,64
15,65
16,66
17,67
18,68
19,69
20,70
21,71
22,72
23,73
24,74
25,75
26,76
27,77
28,78
29,79
30,80
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
