Deviation score,T
-50,15
-49,16
-48,16
-47,17
-46,18
-45,18
-44,19
-43,20
-42,20
-41,21
-40,22
-39,23
-38,23
-37,24
-36,25
-35,25
-34,26
-33,27
-32,28
-31,28
-30,29
-29,30
-28,30
-27,31
-26,32
-25,32
-24,33
-23,34
-22,35
-21,35
-20,36
-19,37
-18,37
-17,38
-16,39
-15,39
-14,40
-13,41
-12,42
-11,42
-10,43
-9,44
-8,44
-7,45
-6,46
-5,46
-4,47
-3,48
-2,49
-1,49
0,50
1,51
2,51
3,52
4,53
5,54
6,54
7,55
8,56
9,56
10,57
11,58
12,58
13,59
14,60
15,61
16,61
17,62
18,63
19,63
20,64
21,65
22,65
23,66
24,67
25,68
26,68
27,69
28,70
29,70
30,71
31,72
32,72
33,73
34,74
35,75
36,75
37,76
38,77
39,77
40,78
41,79
42,80
43,80
44,81
45,82
46,82
47,83
48,84
49,84
50,85
